"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"65089","AT 2020rfv","16:35:59.109","+16:22:24.90","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20gsb","PS1 - GPC1","","1","1","","21.46","w-PS1","2020-03-23 12:24:28.800","PS2_Bot1","","TESS-active sector/s (25,26);TESS-Sector25"
"64592","AT 2020qry","23:02:56.999","+51:12:49.57","","","","","ZTF","ZTF","","ZTF","ZTF19aavantx","P48 - ZTF-Cam","","1","1","","18.11","g-ZTF","2020-01-11 02:26:52.800","ZTF_Bot1","",""
"63498","AT 2020pcn","14:58:11.271","-21:55:43.14","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20frl","PS1 - GPC1","","1","1","","21.47","w-PS1","2020-03-22 13:39:21.600","PS1_Bot1","",""
"61741","AT 2020mox","16:03:14.728","-14:16:00.49","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20efy","PS1 - GPC1","","1","1","","21.78","w-PS1","2020-03-23 14:03:50.400","PS1_Bot1","",""
"61658","AT 2020mls","13:35:38.729","+01:50:08.93","","","","","SGLF","ZTF","","ZTF","ZTF20aanvlnk","P48 - ZTF-Cam","","1","1","","20.096","r-ZTF","2020-02-15 12:02:46.000","Perez-Fournon","",""
"61322","SN 2020mbe","02:08:34.440","+29:14:09.10","SN Ic","0.022","","","GaiaAlerts, ZTF, ATLAS","GaiaAlerts, ZTF, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","Gaia20aez","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.6","","2020-01-10 20:41:16.000","Gaia_Bot1","",""
"61290","AT 2020lzy","15:31:58.706","+00:11:18.25","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20dyt","PS1 - GPC1","","1","1","","20.91","w-PS1","2020-03-19 14:44:09.600","PS1_Bot1","",""
"61262","AT 2020lyw","11:14:20.001","+40:01:29.35","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20dxe","PS1 - GPC1","","1","1","","19.83","w-PS1","2020-01-31 12:33:07.200","PS2_Bot1","",""
"61065","AT 2020lru","11:19:30.749","+15:24:40.07","","","","","ZTF","ZTF","","ZTF","ZTF20aaouvjn","P48 - ZTF-Cam","","1","1","","20.22","r-ZTF","2020-02-19 07:40:48.000","ZTF_Bot1","",""
"60890","AT 2020llf","13:54:51.257","-06:57:40.68","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20dob","PS1 - GPC1","","1","1","","19.1","w-PS1","2020-01-31 14:36:57.600","PS1_Bot1","",""
"60834","AT 2020ljd","13:46:58.225","+24:31:59.34","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20dmi","PS1 - GPC1","","1","1","","21.08","w-PS1","2020-03-22 10:26:24.000","PS1_Bot1","",""
