 # Fibonacci Sphere distribution of circles on sphere
 # Assuming 5300 across sky, => 7.9 sq-degrees/desi tile
 # RA            DEC
 -90.86171   -0.70450
 -88.07516   -0.10833
 -91.73846    1.78149
 -89.90773   -2.94363
 -87.82096    2.53124
 -93.66611   -0.43745
 -86.73792   -2.34001
 -90.88515    4.22003
 -92.34501   -3.94720
 -85.35423    1.40439
 -94.60156    2.20636
 -88.00719   -4.95495
 -88.03248    5.20901
 -95.16468   -2.61160
 -84.22347   -1.61194
 -93.28436    5.26151
 -91.18209   -6.28737
 -84.72324    3.95039
 -96.74221    0.65832
 -85.34093   -5.16956
 -89.92815    7.13099
 -95.00158   -5.32886
 -82.55058    0.57695
 -96.02665    4.69793
 -88.71116   -7.69049
 -85.64367    6.66244
 -97.85555   -2.02035
 -82.69577   -3.87057
 -92.82387    7.92559
 -93.36537   -7.87214
 -82.07196    3.59732
 -98.41710    2.72121
 -85.54656   -7.80875
 -87.93600    8.88532
 -97.64580   -5.23139
 -80.69992   -1.29414
 -96.09551    7.32721
 -90.50008   -9.63752
 -82.99992    6.84481
 -99.89864   -0.35655
 -82.33116   -6.48378
 -91.26606   10.07487
 -95.99542   -8.36007
 -79.83051    2.16848
 -99.09636    5.29671
 -86.83683  -10.15647
 -85.34937    9.70182
-100.08086   -4.07266
 -79.69183   -3.79857
 -95.11208    9.85644
 -92.99971  -10.79936
 -80.38722    5.99532
-101.24362    2.03457
 -82.97015   -9.16533
 -88.90777   11.58954
 -98.75766   -7.85969
 -78.14755   -0.06055
 -98.83433    8.09039
 -88.99254  -12.01979
 -82.47866    9.58805
-102.09510   -2.05907
 -79.55158   -6.65490
 -93.22255   12.05117
 -95.92454  -11.10405
 -78.05719    4.25314
-101.80333    4.89662
 -84.53235  -11.66072
 -85.99572   12.33558
-101.37775   -6.44561
 -77.15959   -2.86572
 -97.65398   10.84290
 -91.81466  -13.21801
 -79.60619    8.55718
-103.51187    0.62258
 -80.30524   -9.60979
 -90.57377   13.69782
 -98.99795  -10.50727
 -76.21944    1.76433
-101.51001    7.99002
 -86.92340  -13.73600
 -82.78769   12.21630
-103.61961   -4.22022
 -76.97018   -6.02687
 -95.60024   13.31084
 -95.07631  -13.60868
 -76.98768    6.66556
-104.19592    3.77578
 -81.95199  -12.41939
 -87.35193   14.61638
-101.95294   -9.01754
 -75.03827   -1.30195
-100.32662   11.07754
 -90.00414  -15.18298
 -79.55161   11.19179
-105.29155   -1.32184
 -77.64850   -9.31863
 -92.76318   15.26759
 -98.52085  -13.10452
 -74.84044    4.01695
-104.05027    7.19097
 -84.44869  -14.84803
 -83.78926   14.67555
-104.54939   -6.70019
 -74.63602   -4.75503
 -98.25454   13.92259
 -93.57891  -15.83218
 -76.54523    9.28507
-106.24651    2.08064
 -79.22830  -12.50990
 -89.29300   16.51361
-101.88144  -11.68318
 -73.33698    0.75526
-103.01236   10.64717
 -87.69479  -16.67555
 -80.14966   13.80618
-106.58832   -3.67030
 -75.09938   -8.38725
 -95.34585   16.29389
 -97.40131  -15.56875
 -73.99408    6.57779
-106.37605    5.79528
 -81.70062  -15.36679
 -85.40359   16.89264
-104.90843   -9.38772
 -72.60752   -2.94547
-101.05562   13.91456
 -91.52106  -17.71162
 -76.70040   12.00774
-107.91565   -0.08128
 -76.48287  -11.97756
 -91.71824   17.97664
-101.19795  -14.34494
 -72.07920    3.19909
-105.60351    9.61268
 -84.99959  -17.66031
 -81.35869   16.30866
-107.39113   -6.31806
 -72.74784   -6.88938
 -98.19947   16.75939
 -95.69128  -17.81460
 -73.68214    9.34490
-108.41647    3.88606
 -78.80478  -15.29486
 -87.56447   18.79022
-104.70221  -12.18362
 -70.93741   -0.68737
-103.88207   13.30947
 -88.98620  -19.18063
 -77.44066   14.73698
-109.16616   -2.61751
 -73.82592  -10.86367
 -94.52680   18.95385
 -99.92378  -16.90896
 -71.28987    5.93572
-108.00582    8.03097
 -82.03336  -18.10400
 -83.14498   18.60900
-107.68425   -9.17103
 -70.67016   -4.89382
-101.20216   16.65168
 -93.44128  -19.75764
 -73.91305   12.22422
-110.11261    1.54046
 -75.88160  -14.64129
 -90.20107   20.29317
-103.92940  -14.99401
 -69.66973    1.93681
-106.62287   12.13638
 -86.06606  -20.17781
 -78.75832   17.37931
-109.96567   -5.44239
 -71.35352   -9.21430
 -97.60952   19.40184
 -98.07961  -19.28323
 -70.99272    8.87748
-110.14056    5.96136
 -78.91525  -17.98436
 -85.46990   20.61901
-107.45066  -12.13999
 -68.92821   -2.46938
-104.23413   15.97065
 -90.71215  -21.31732
 -74.69737   15.12507
-111.41699   -1.16634
 -73.04262  -13.42689
 -93.22903   21.33347
-102.58791  -17.72692
 -68.84083    4.84770
-109.18092   10.43402
 -82.86532  -20.65262
 -80.64280   19.84249
-110.28580   -8.47358
 -69.14564   -7.08219
-100.84912   19.29127
 -95.69427  -21.37754
 -71.21023   11.93947
-111.94448    3.46673
 -75.76497  -17.29471
 -88.28118   22.25450
-106.67337  -15.13744
 -67.57107    0.31412
-107.18305   14.73123
 -87.58187  -22.42074
 -76.04462   17.95743
-112.29124   -4.15984
 -70.38592  -11.68517
 -96.54734   21.85503
-100.68009  -20.29059
 -68.48173    7.96731
-111.47544    8.25044
 -79.50014  -20.57009
 -83.07372   22.03521
-110.10057  -11.62995
 -67.26616   -4.52593
-104.12528   18.61027
 -92.81231  -23.10503
 -71.96396   15.03726
-113.36789    0.61283
 -72.69622  -16.04544
 -91.50672   23.43857
-105.33710  -18.07550
 -66.63798    3.38603
-109.94954   12.96303
 -84.14816  -23.00702
 -77.95937   20.63047
-112.70296   -7.36568
 -67.99312   -9.46075
-100.04050   21.81800
 -98.21869  -22.59321
 -68.62060   11.21785
-113.44219    5.64106
 -76.09204  -19.91392
 -86.01388   23.86853
-109.38515  -14.82996
 -65.76487   -1.60820
-107.32236   17.36553
 -89.50004  -24.38533
 -73.27381   18.08517
-114.37140   -2.53269
 -69.81013  -14.26312
 -95.05201   24.10601
-103.43123  -20.86455
 -66.16185    6.67498
-112.45093   10.70812
 -80.52616  -23.03181
 -80.43596   23.05226
-112.62278  -10.70896
 -65.92879   -6.80671
-103.58525   21.20202
 -95.23372  -24.54415
 -69.28450   14.52044
-115.03151    2.66628
 -72.75929  -18.68751
 -89.40292   25.25892
-108.11600  -17.99012
 -64.68088    1.60571
-110.33685   15.58109
 -85.84860  -25.14906
 -75.15563   20.99498
-114.92218   -5.90096
 -67.19083  -11.98787
 -98.80222   24.20804
-100.95478  -23.41284
 -66.17254   10.10862
-114.62213    8.01787
 -76.84126  -22.47077
 -83.45160   25.13082
-112.02217  -14.11329
 -64.24237   -3.78178
-107.06007   20.00737
 -91.77921  -26.05698
 -70.49987   17.79379
-116.20488   -0.61047
 -69.60840  -16.91273
 -93.15351   26.13293
-106.27264  -21.02375
 -64.04646    5.04897
-113.08263   13.29555
 -81.97231  -25.34296
 -77.61671   23.67537
-114.99046   -9.42184
 -64.90423   -9.26984
-102.62956   23.71622
 -97.92327  -25.62735
 -66.69940   13.61287
-116.41386    4.94980
 -73.21885  -21.32107
 -86.95900   26.77702
