# Geodesic pattern 30 class 2 npts 27002 area_per_point= 1.528
# From geodesic_tiling_pattern_npts27002.txt
# As generated using instruction from http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# Further instructions on generation are available at: https://github.com/SSantosLab/desgw-map/wiki/DECam-Tiling-for-HSC
# RA            DEC
-90.000000  58.282500
-90.000000 -58.282500
 90.000000  58.282500
 90.000000 -58.282500
-121.717000   0.000000
121.717000   0.000000
-58.283000   0.000000
 58.282500   0.000000
180.000000  31.717500
180.000000 -31.717500
  0.000000  31.717500
  0.000000 -31.717500
-90.000000  60.397000
-90.000000  62.511500
-90.000000  64.626000
-90.000000  66.740500
-90.000000  68.855000
-90.000000  70.969500
-90.000000  73.084000
-90.000000  75.198500
-90.000000  77.313000
-90.000000  79.427500
-90.000000  81.542000
-90.000000  83.656500
-90.000000  85.771000
-90.000000  87.885500
180.000000  90.000000
 90.000000  87.885500
 90.000000  85.771000
 90.000000  83.656500
 90.000000  81.542000
 90.000000  79.427500
 90.000000  77.313000
 90.000000  75.198500
 90.000000  73.084000
 90.000000  70.969500
 90.000000  68.855000
 90.000000  66.740500
 90.000000  64.626000
 90.000000  62.511500
 90.000000  60.397000
-92.255000  56.551200
-94.311000  54.782600
-96.192000  52.982200
-97.923000  51.154500
-99.520000  49.303300
-101.001000  47.431600
-102.380000  45.542100
-103.669000  43.637100
-104.879000  41.718600
-106.018000  39.788100
-107.094000  37.847000
-108.116000  35.896700
-109.088000  33.938200
-110.016000  31.972300
-110.905000  30.000000
-111.760000  28.021900
-112.583000  26.038800
-113.380000  24.051100
-114.151000  22.059400
-114.902000  20.064300
-115.633000  18.066000
-116.349000  16.065000
-117.049000  14.061700
-117.738000  12.056500
-118.416000  10.049500
-119.087000   8.041220
-119.750000   6.031840
-120.408000   4.021670
-121.064000   2.010960
-87.745000  56.551200
-85.689000  54.782600
-83.808000  52.982200
-82.077000  51.154500
-80.480000  49.303300
-78.999000  47.431600
-77.620000  45.542100
-76.331000  43.637100
-75.121000  41.718600
-73.982000  39.788100
-72.906000  37.847000
-71.884000  35.896700
-70.912000  33.938200
-69.984000  31.972300
-69.095000  30.000000
-68.240000  28.021900
-67.417000  26.038800
-66.620000  24.051100
-65.849000  22.059400
-65.098000  20.064300
-64.367000  18.066000
-63.651000  16.065000
-62.951000  14.061700
-62.262000  12.056500
-61.584000  10.049500
-60.913000   8.041220
-60.250000   6.031840
-59.592000   4.021670
-58.936000   2.010960
-93.893000  58.877700
-97.908000  59.352000
-102.021000  59.699700
-106.204000  59.916300
-110.426000  59.999100
-114.650000  59.946900
-118.845000  59.760400
-122.977000  59.442100
-127.017000  58.996100
-130.939000  58.427800
-134.724000  57.743800
-138.358000  56.951200
-141.832000  56.057900
-145.140000  55.071600
-148.283000  54.000000
-151.262000  52.850700
-154.083000  51.630700
-156.752000  50.346800
-159.278000  49.005000
-161.669000  47.611000
-163.933000  46.169900
-166.081000  44.686400
-168.119000  43.164700
-170.058000  41.608600
-171.904000  40.021500
-173.666000  38.406400
-175.350000  36.766100
-176.963000  35.103100
-178.511000  33.419500
-86.107000  58.877700
-82.092000  59.352000
-77.979000  59.699700
-73.796000  59.916300
-69.574000  59.999100
-65.350000  59.946900
-61.155000  59.760400
-57.023000  59.442100
-52.983000  58.996100
-49.061000  58.427800
-45.276000  57.743800
-41.642000  56.951200
-38.168000  56.057900
-34.860000  55.071600
-31.717000  54.000000
-28.738000  52.850700
-25.917000  51.630700
-23.248000  50.346800
-20.722000  49.005000
-18.331000  47.611000
-16.067000  46.169900
-13.919000  44.686400
-11.881000  43.164700
 -9.942000  41.608600
 -8.096000  40.021500
 -6.334000  38.406400
 -4.650000  36.766100
 -3.037000  35.103100
 -1.489000  33.419500
-90.000000 -60.397000
-90.000000 -62.511500
-90.000000 -64.626000
-90.000000 -66.740500
-90.000000 -68.855000
-90.000000 -70.969500
-90.000000 -73.084000
-90.000000 -75.198500
