sn name,host_source,host_name,host_id,host_ra,host_dec,type,rexp,rexp_ivar,rdev,rdev_ivar,z,z_sep,ang_sep (deg),ang_sep (kpsec),ang_sep (radii),ang_sep_sigma (radii),upper_ang_sep (radii),a,ratiob2a,pa,dm,m21,source,dm_kin,btc,hemisphere,program
09ac,dr8_galaxy,N/A,20028924,186.149689667389,47.2375270028375,DEV,0.0,0.0,3.81603217124939,34666.29296875,0.163307011127472,0.002307011127472003,0.001571892581639133,15.686628911249294,1.4829050280381029,0.0020871209087614173,1.4849921489468643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09ad,dr8_galaxy,N/A,302429245,165.77753471386,50.1598975924791,EXP,0.636562705039978,435.018615722656,0.0,0.0,0.320833623409271,0.119833623409271,0.00016160020446410377,1.9271207514625144,0.9139095511953332,0.06883480786283515,0.9827443590581684,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09av,dr8_galaxy,N/A,458794723,138.803572187871,19.0970620307503,EXP,2.22720766067505,116608.4453125,0.0,0.0,0.230805099010468,0.012805099010468002,0.0008007682257967737,10.169098796037298,1.294340740546232,0.0017018563792464596,1.2960425969254783,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13b,dr8_galaxy,N/A,260008405,182.298006269847,43.4172010139763,EXP,4.88904094696045,1261.18078613281,0.0,0.0,0.0341230854392052,0.010123085439205197,0.0006309531657853419,1.0993727790997754,0.4645965172861551,0.0026758613239595028,0.4672723786101146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13d,local_universe,UGC 08399,367155.0,200.439375,31.23725,SB(r)b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0327611,0.74,85.0,-99.0,-99.0,ned_20121120,34.991,14.5257,north,PTF-iPTF
13e,dr8_galaxy,N/A,942021494,183.43510419855,28.6485999869396,DEV,0.0,0.0,3.05659651756287,35957.7890625,0.0502885021269321,0.026288502126932102,0.00020554146157786003,0.3581354371268157,0.24208274053465295,0.000417666096131194,0.24250040663078415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13f,dr8_galaxy,N/A,24786818,247.361527853543,38.419391376588,COMP,5.77477264404297,89847.59375,1.09023332595825,170116.453125,0.0418136045336723,0.0118136045336723,0.0019406376396100605,4.196319797881553,1.2097957674235034,0.0006989143299736363,1.210494681753477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13h,dr8_galaxy,N/A,1483957999,155.398381146205,20.9406630747975,DEV,0.0,0.0,27.824800491333,17999.0703125,0.0372086428105831,0.0017913571894168992,0.0018490809583630362,5.142168062144181,0.23923590942477332,6.408690114113998e-05,0.23929999632591448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13l,local_universe,MCG +07-34-108,410192.0,247.844083333,39.1678333333,S0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0259111,0.42,8.0,-99.0,-99.0,ned_20121120,35.4206,-99.0,north,PTF-iPTF
13s,dr8_galaxy,N/A,149338149,203.22193655955,35.9592746248675,REX,0.555980205535889,628.181396484375,0.0,0.0,0.219532623887062,0.159532623887062,0.00014784342446953096,0.6169823015874211,0.9572936640384676,0.06869787752667537,1.025991541565143,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13v,dr8_galaxy,N/A,265822852,204.673486753857,32.3085403940732,REX,8.74240875244141,128223.328125,0.0,0.0,0.0376011617481709,0.0243988382518291,0.003295128521029209,14.176270046717127,1.3568872162826333,0.00043344013221621746,1.3573206564148494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13ab,dr8_galaxy,N/A,948694872,189.552841153623,7.15109084151252,EXP,4.11224889755249,42.5652847290039,0.0,0.0,0.0734674707055092,0.0254674707055092,0.0008831738496805556,2.990637439008136,0.7731598787082943,0.02881788772454071,0.801977766432835,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13af,dr8_galaxy,N/A,266515069,205.171670721236,32.5630908499791,REX,0.603948473930359,343.207244873047,0.0,0.0,0.418943166732788,0.24894316673278796,0.00020986687088434184,2.189570213303926,1.2509688620734047,0.11180684384246466,1.3627757059158694,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13ag,dr8_galaxy,N/A,1288842576,191.360460897085,12.1049183619623,DEV,0.0,0.0,2.66697216033936,14988.376953125,0.11869390308857,0.03769390308857,0.0025956940249765837,14.26910682823548,3.5037855396010795,0.010731037936792368,3.5145165775378717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13ai,dr8_galaxy,N/A,628769679,193.561980316099,9.44151718241568,COMP,11.9535274505615,512002.6875,3.60869574546814,207329.5,0.0456132665276527,0.00031326652765269886,0.003719534241250025,11.924907763736963,1.1201984789745973,0.00013096727010514648,1.1203294462447024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13an,dr8_galaxy,N/A,1090823465,183.564605041315,15.5390103575299,EXP,4.22104024887085,26476.345703125,0.0,0.0,0.0756005421280861,0.004399457871913898,0.0030741106270624177,16.70983720788116,2.621817752243687,0.0038172797187070017,2.625635031962394,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13an,dr8_galaxy,N/A,1090823487,183.566172531815,15.5359417795976,DEV,0.0,0.0,2.6516432762146,134954.734375,0.0795970112085342,0.0004029887914658026,0.0021140807820360726,11.491436059960508,2.8701789881007813,0.0029464550500883954,2.8731254431508697,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13ao,dr8_galaxy,N/A,118123985,177.332308007161,42.9683511737813,EXP,1.13944971561432,28517.0625,0.0,0.0,0.100247547030449,0.035247547030448995,0.00029256419885092584,1.3149300634842094,0.9243331245165977,0.004803756207464151,0.9291368807240619,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13ap,dr8_galaxy,N/A,261079234,199.007581618336,30.3766707885122,EXP,1.53419768810272,1155.72473144531,0.0,0.0,-99.0,99.2,0.006342157758140377,75.33695720178277,14.88189436495663,0.28533148067108005,15.167225845627708,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13ap,dr8_galaxy,N/A,261692454,199.013774911028,30.3715103326259,REX,0.743338882923126,104.595344543457,0.0,0.0,-99.0,99.2,0.0038402221374843545,45.61706943439832,18.5982463887516,2.4464084538225084,21.04465484257411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13ap,dr8_galaxy,N/A,261692404,199.011494471181,30.3602420213686,EXP,1.327143907547,346.932464599609,0.0,0.0,-99.0,99.2,0.010446345640219387,124.08961183630313,28.336674034317543,1.14632664184986,29.483000676167403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13ax,dr8_galaxy,N/A,1096811038,182.415566347505,16.2039267898943,REX,8.17440032958984,17.0375270843506,0.0,0.0,0.0342758037149906,0.041724196285009396,0.00011561621016537988,0.5998133179426495,0.05091729543618422,0.0015090587393360112,0.05242635417552023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13ay,dr8_galaxy,N/A,1096454270,182.981157055466,16.0835548746083,REX,1.04593431949615,175465.875,0.0,0.0,0.130915626883507,0.019084373116492998,0.0007453688421990376,7.015319783369932,2.565484067115375,0.005855561884479789,2.571339628999855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13bg,dr8_galaxy,N/A,720859393,168.975018984299,18.3169631305089,EXP,4.23324489593506,2991.345703125,0.0,0.0,0.0527516901493073,0.017548309850692702,0.0014206467661200702,6.863000669767154,1.2081342997527134,0.0052180533830419465,1.2133523531357553,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13bu,dr8_galaxy,N/A,1122900151,201.043742925566,30.2975216188785,EXP,0.97800201177597,415.841552734375,0.0,0.0,0.488354533910751,0.354354533910751,0.004841509085648331,41.44255347761499,17.8214691774341,0.8935931146459549,18.715062292080056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13bu,dr8_galaxy,N/A,1122900177,201.034695036071,30.2992551388031,DEV,0.0,0.0,1.41447103023529,134797.5625,0.313178062438965,0.179178062438965,0.012495543551475488,106.95988021564244,31.802670979998016,0.06123906052902574,31.863910040527042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13cd,dr8_galaxy,N/A,379023571,184.433746030434,32.0216997224571,DEV,0.0,0.0,3.54736876487732,5910.74169921875,0.16370715200901,0.006292847990990003,0.0009641232993738492,10.058832293852944,0.9784277045315559,0.0035875785046773677,0.9820152830362333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
13cg,dr8_galaxy,N/A,1096991061,182.787272801475,19.7150704612092,REX,0.946857690811157,29760.220703125,0.0,0.0,0.160560101270676,0.010560101270675998,0.00016413340369293345,1.5448033897443296,0.6240433583935546,0.003820427658479825,0.6278637860520344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13cp,dr8_galaxy,N/A,9012988,180.927399319902,14.3708405556322,COMP,1.7705705165863,97172.890625,6.57248258590698,11520.3525390625,0.04399773478508,0.0014977347850799946,7.858892502721909e-05,0.2371726686342181,0.04304615895135867,6.1019982150229776e-05,0.043107178933508905,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
13cr,dr8_galaxy,N/A,62176521,164.618295599746,37.5768273775723,EXP,3.1332802772522,102644.2734375,0.0,0.0,0.0631054416298866,0.0041054416298866026,0.0010329652065285834,4.243931807121527,1.1868311847174027,0.0011822854412492634,1.188013470158652,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09ab,dr8_galaxy,N/A,123471287,140.565583706224,45.7479369207712,EXP,1.35438013076782,1361.57434082031,0.0,0.0,0.213689386844635,0.03868938684463502,0.00011751722066122102,1.255214840275126,0.3123657714474554,0.006250319031940608,0.31861609047939604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09bi,dr8_galaxy,N/A,859489262,176.709757997,11.799133378907,EXP,4.22492551803589,7460.517578125,0.0,0.0,0.088673360645771,0.021326639354229,0.0008532633640134517,6.160840447290225,0.7270537900219458,0.001992337946075702,0.7290461279680215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
09bj,dr8_galaxy,N/A,301078856,169.527022208962,12.8950866333728,EXP,1.67536413669586,97840.8203125,0.0,0.0,0.156693920493126,0.01269392049312601,0.00045354992265856606,4.12553256525433,0.9745819943304941,0.0018597266998014717,0.9764417210302956,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
09c,local_universe,PGC40133,597256.0,185.6949,65.84376,1.1000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0356327,0.74131,137.5,-99.0,-99.0,clu.v2,33.18,12.94,north,PTF-iPTF
