sn name,host_source,host_name,host_id,host_ra,host_dec,type,rexp,rexp_ivar,rdev,rdev_ivar,z,z_sep,ang_sep (deg),ang_sep (kpsec),ang_sep (radii),ang_sep_sigma (radii),upper_ang_sep (radii),a,ratiob2a,pa,dm,m21,source,dm_kin,btc,hemisphere,program
ZTF19abycslo,dr8_galaxy,N/A,607204495,33.8115462140761,-12.1648749469431,EXP,3.25421452522278,44822.23828125,0.0,0.0,0.0798072069883347,0.0101927930116653,0.0004394405386281123,2.6562862780759042,0.48613449629689154,0.00070560799116799,0.4868401042880595,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
ZTF19abqynnh,dr8_galaxy,N/A,85795528,106.233287029897,33.5649353491681,EXP,10.0881080627441,51994.609375,0.0,0.0,0.0205943901091814,0.0204656098908186,0.0038360235205292894,11.203644302623655,1.36890729044679,0.0005950934235342025,1.3695023838703242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19abqynnh,dr8_galaxy,N/A,85795521,106.229627341609,33.5564973714129,EXP,2.29215526580811,336.262115478516,0.0,0.0,0.0474219918251038,0.006361991825103802,0.008978047778157682,26.221646791300284,14.100690508839833,0.3354728495001356,14.436163358339968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19aamvmer,dr8_galaxy,N/A,342376430,243.425714509791,47.0533035942544,COMP,6.0532374382019,8194.2275390625,1.48897457122803,10233.96484375,0.083829328417778,0.003900671582222001,0.00048290844266375504,2.8528855324237234,0.2871967953244416,0.0005241286145021701,0.2877209239389438,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF18abrzevz,dr8_galaxy,N/A,262627638,272.331646777247,27.6105247885708,REX,0.272160053253174,128.36653137207,0.0,0.0,0.937340497970581,0.8373404979705811,0.0009640416420656726,6.400718180936788,12.751871077156128,4.135458138249273,16.8873292154054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
ZTF19acmbiad,dr8_galaxy,N/A,288499436,126.026560970701,54.2453481309757,EXP,2.06316685676575,4328.28564453125,0.0,0.0,0.0563718155026436,0.015628184497356395,0.0005238324014607059,2.586632865311062,0.9140301178619857,0.006733923782640504,0.9207640416446262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19acmbiad,dr8_galaxy,N/A,288499435,126.026115114093,54.2422591403656,EXP,2.15838217735291,45516.95703125,0.0,0.0,0.0857681706547737,0.013768170654773704,0.0033988123001408447,16.783000772866984,5.668933152289655,0.012310802938622755,5.681243955228277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19aaomkvl,local_universe,KUG 1602+176,403645.0,241.128,17.4686111111,SAB(s)c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.022,0.59,0.0,-99.0,-99.0,ned_20121120,35.8488,15.6639,south,ZTFmarshal
ZTF19aaomkvl,local_universe,PGC56948,591132.0,241.12695,17.46914,4.9000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0166667,0.616595,9.0,-99.0,-99.0,clu.v2,36.18,15.37,south,ZTFmarshal
ZTF18acqxwgl,dr8_galaxy,N/A,288430700,122.600123877516,52.2197904851899,REX,0.589861690998077,10234.435546875,0.0,0.0,0.121822327375412,0.061822327375412,0.00021165494687048445,0.883281463014458,1.2917567293520476,0.02164704368122545,1.313403773033273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19abulzlj,dr8_galaxy,N/A,313097311,257.14599645634,51.4742788806839,REX,2.01363086700439,14257.900390625,0.0,0.0,0.118393093347549,0.0016930933475489962,0.0005100631263633631,3.877455013300336,0.9118986428926766,0.0037926164230872093,0.9156912593157639,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF18aaxmnkw,dr8_galaxy,N/A,648949751,220.318474389168,9.4661942846439,EXP,2.12889528274536,42781.13671875,0.0,0.0,0.0780156925320625,0.009984307467937492,0.0008343627179133314,4.942804134320578,1.4109222791900329,0.0032042222490004275,1.4141265014390334,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
ZTF19abqshry,local_universe,MCG +08-30-042,411060.0,249.639416667,45.6291944444,-99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0247833,0.6,105.0,-99.0,-99.0,ned_20121120,35.5132,-99.0,north,ZTFmarshal
ZTF18ablqlzp,local_universe,CGCG 222-032,398133.0,234.134708333,41.7992777778,-99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0271778,0.68,66.0,-99.0,-99.0,ned_20121120,36.1537,-99.0,north,ZTFmarshal
ZTF19aaxivit,dr8_galaxy,N/A,1290047300,192.39500192676,13.8027343417267,DEV,0.0,0.0,8.16507434844971,50773.80078125,0.0664611905813217,0.020461190581321703,0.0004759510497622823,1.5482007624952292,0.2098479090358242,0.00011405771458260755,0.20996196675040682,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
ZTF18abrwudp,dr8_galaxy,N/A,102065519,217.524962998264,58.7869326847081,REX,2.35189914703369,34863.76171875,0.0,0.0,0.12277664244175,0.0072233575582500015,0.0007990637186196098,6.6656298186058995,1.2231091586808542,0.002785219334170353,1.2258943780150247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF18acpeekw,dr8_galaxy,N/A,1130914444,178.55820358829,20.7341442690041,EXP,1.82487869262695,25105.419921875,0.0,0.0,0.114036418497562,0.020036418497562006,0.00039112152560805347,2.457923604565049,0.7715786796557386,0.002668470913527514,0.7742471505692661,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
ZTF18abfzixe,dr8_galaxy,N/A,1248295571,240.491367068553,29.4148913163583,EXP,0.868841826915741,127798.328125,0.0,0.0,0.0396512150764465,0.005651215076446496,8.228181226581336e-05,0.20067970543157929,0.34093032239072274,0.001097646060053775,0.3420279684507765,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
ZTF19aawsday,local_universe,UGC 00068,232458.0,2.04279166667,27.00425,SB?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0311111,0.81,90.0,-99.0,-99.0,ned_20121120,34.9332,14.1867,south,ZTFmarshal
ZTF18abffyqp,local_universe,UGC 10586,412502.0,252.702,45.4019166667,Sb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0528333,0.93,75.0,-99.0,-99.0,ned_20121120,35.5469,14.4261,north,ZTFmarshal
ZTF19aavjvkh,dr8_galaxy,N/A,326777812,261.033010180652,33.8417086644038,EXP,6.69112348556519,313124.65625,0.0,0.0,0.0256503969430923,0.0153496030569077,0.0008240968026485819,2.403544891939419,0.44338570285469747,0.00011841971372933715,0.4435041225684268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19aavjvkh,dr8_galaxy,N/A,326777769,261.033171289123,33.8437601288954,EXP,2.97593593597412,5259.16064453125,0.0,0.0,0.0285839308053255,0.0124160691946745,0.0028416666576728286,8.287950344780823,3.437573989398926,0.015928330500884585,3.4535023198998105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19abjibet,dr8_galaxy,N/A,258852858,247.55662334558,66.6333971518079,EXP,3.73262882232666,102453.046875,0.0,0.0,0.0692031010985374,0.017703101098537406,0.0007547247964262802,2.7306840900170055,0.72790770163989,0.0006092549550401726,0.7285169565949302,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19abeytzv,dr8_galaxy,N/A,908322282,342.769938402716,5.42947703042758,EXP,3.17794752120972,132740.84375,0.0,0.0,0.0573004595935345,0.01269954040646551,0.0002792388064417851,1.3436889795963005,0.316323569373406,0.0002732011633779673,0.316596770536784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
ZTF18aalcxig,dr8_galaxy,N/A,230039317,269.9601940592,40.8266290328716,EXP,4.14369583129883,21497.9375,0.0,0.0,0.0345274060964584,0.039472593903541596,0.0007819746337485104,3.9593199997330215,0.6793714587424844,0.0011182039736514532,0.6804896627161359,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF18aalcxig,dr8_galaxy,N/A,230039324,269.958486247809,40.8247268752349,EXP,2.86581206321716,231.124588012695,0.0,0.0,0.0753087177872658,0.001308717787265809,0.0015842091520193427,8.02122052128807,1.9900652315864968,0.045676890452376995,2.035742122038874,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,ZTFmarshal
ZTF19aaljeup,dr8_galaxy,N/A,624318832,121.961081739786,0.53118745609091,EXP,2.26088523864746,395730.59375,0.0,0.0,0.0761407315731049,0.008859268426895106,0.001083609969265364,6.222078476863775,1.7254285280260495,0.0012131615649380104,1.7266416895909875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,ZTFmarshal
