sn name,index,hemisphere,ra,dec,sn_z,host_ra,host_dec,program,priority
09bce,1.0,north,248.825,55.6331,0.023,248.825666667,55.6344166667,IIps,2.0
09fbf,1.0,north,320.16,1.04803,0.020744,320.159333333,1.04719444444,IIps,4.0
09fbf,2.0,north,320.16,1.04803,0.020744,320.15332,1.052773,IIps,4.0
10aauv,1.0,north,107.855,49.9426,0.023,107.855190525,49.9429865759,IIps,2.0
10bau,1.0,south,139.089,17.7278,0.025958999999999996,139.090375,17.7272222222,IIps,2.0
10bgl,1.0,north,154.77,46.4565,0.03,154.771375,46.4541111111,IIps,2.0
10dvb,1.0,north,259.051,31.7933,0.022941999999999997,259.044333333,31.7923055556,IIps,2.0
10hny,1.0,north,226.105,49.4008,0.026548000000000002,226.102875,49.39875,IIps,2.0
10hny,2.0,north,226.105,49.4008,0.026548000000000002,226.1004,49.40329,IIps,2.0
10hpa,1.0,north,191.372,53.8632,0.030166000000000002,191.373174652,53.8630962296,IIps,2.0
10myz,1.0,north,224.55700000000002,48.1912,0.028173,224.559416667,48.1924166667,IIps,2.0
10osr,1.0,south,356.43800000000005,11.4784,0.0235,356.43779971,11.4784014347,IIps,2.0
10pjg,1.0,south,350.783,13.0442,0.0384,350.782383981,13.0458272689,IIps,2.0
10pjg,2.0,south,350.783,13.0442,0.0384,350.786867023,13.0456070902,IIps,2.0
10qob,1.0,south,21.448,-1.37503,0.01875,21.43455,-1.37947,IIps,3.0
10qob,2.0,south,21.448,-1.37503,0.01875,21.4475,-1.3725,IIps,3.0
10qob,3.0,south,21.448,-1.37503,0.01875,21.44775,-1.37146,IIps,3.0
10qwz,1.0,south,353.82800000000003,12.9255,0.020541,353.823041667,12.9234166667,IIps,2.0
10rin,1.0,south,343.162,13.0102,0.031666,343.163857641,13.0115891041,IIps,2.0
10tff,1.0,north,219.25599999999997,48.5446,0.007201999999999999,219.2565,48.5448333333,IIps,3.0
10uqn,1.0,south,346.73900000000003,3.94006,0.04824,346.740264198,3.94183699303,IIps,2.0
10wmf,1.0,south,329.065,2.1705,0.027882999999999998,329.062375,2.17261111111,IIps,2.0
10wve,1.0,south,359.184,9.26736,0.039,359.184069175,9.26717236185,IIps,2.0
11acz,1.0,south,143.236,8.75208,0.087,143.236494628,8.75281280887,IIps,2.0
11ajz,1.0,north,126.705,20.3756,0.025093999999999998,126.704083333,20.3648333333,IIps,4.0
11ams,1.0,south,136.503,29.342,0.02305,136.501083333,29.3447222222,IIps,2.0
11cag,1.0,south,234.648,26.225,0.069891,234.648071161,26.226977507,IIps,4.0
11cag,2.0,south,234.648,26.225,0.069891,234.647163392,26.2217682222,IIps,4.0
11emo,1.0,north,216.15099999999998,35.2776,0.028356,216.145791667,35.2798333333,IIps,3.0
11gls,1.0,north,247.91400000000002,41.4898,0.030226999999999997,247.907958333,41.4936388889,IIps,4.0
11hsj,1.0,north,254.49200000000002,55.1836,0.0287,254.49032981,55.1827186047,IIps,2.0
11hsj,2.0,north,254.49200000000002,55.1836,0.0287,254.490473212,55.1847351353,IIps,2.0
11htj,1.0,south,319.015,12.5225,0.017,319.013,12.5236,IIps,4.0
11jx,1.0,south,208.983,5.4528099999999995,0.039421,209.030041667,5.25477777778,IIps,2.0
11mmk,1.0,south,321.651,4.98886,0.049,321.651482728,4.98773246741,IIps,3.0
11pbo,1.0,south,348.356,12.4246,0.039,348.356741432,12.4232491862,IIps,4.0
11pbo,2.0,south,348.356,12.4246,0.039,348.36772603,12.4254280426,IIps,4.0
11qax,1.0,north,355.60699999999997,0.25466700000000003,0.021854,355.606029295,0.255010662411,IIps,4.0
12bro,1.0,south,186.071,18.9244,0.019,186.071029722,18.9248110713,IIps,4.0
12fo,1.0,south,194.65400000000002,27.1736,0.025564,194.655307413,27.1765838116,IIps,4.0
13aqj,1.0,north,179.095,44.7003,0.047749,179.094048206,44.7007703638,IIps,4.0
13oh,1.0,north,213.15900000000002,46.2045,0.015802,213.158197892,46.2040414304,IIps,2.0
13oh,2.0,north,213.15900000000002,46.2045,0.015802,213.143442882,46.2075134188,IIps,2.0
13ut,1.0,south,218.185,9.88669,0.004563,218.181208333,9.89044444444,IIps,2.0
13ut,2.0,south,218.185,9.88669,0.004563,218.1831,9.89171,IIps,2.0
13ut,3.0,south,218.185,9.88669,0.004563,218.183208333,9.88197222222,IIps,2.0
14gjt,1.0,south,4.66517,2.18431,0.059000000000000004,4.6645303469,2.18476609574,IIps,4.0
ZTF17aaadpxs,1.0,south,347.75404704999994,2.0219445200000004,-9999.0,347.754770977,2.02040610729,SNe_Ia,4.0
ZTF17aaadpxs,2.0,south,347.75404704999994,2.0219445200000004,-9999.0,347.756148243,2.02361601814,SNe_Ia,4.0
ZTF17aaadpxs,3.0,south,347.75404704999994,2.0219445200000004,-9999.0,347.751373804,2.01694705175,SNe_Ia,4.0
ZTF17aaagyfw,1.0,south,74.2632772625,-23.414417425,-9999.0,74.2568657875,-23.4110804734,SNe_Ia,3.0
ZTF17aaagyfw,2.0,south,74.2632772625,-23.414417425,-9999.0,74.2541072624,-23.413493609,SNe_Ia,3.0
ZTF17aaagyfw,3.0,south,74.2632772625,-23.414417425,-9999.0,74.2652485994,-23.4160261706,SNe_Ia,3.0
ZTF17aaahzsk,1.0,north,96.00266617125004,47.26717424375,-9999.0,96.0004683143,47.2684883265,SNe_Ia,4.0
ZTF17aaahzsk,2.0,north,96.00266617125004,47.26717424375,-9999.0,96.0110323066,47.2590375608,SNe_Ia,4.0
ZTF17aaahzsk,3.0,north,96.00266617125004,47.26717424375,-9999.0,96.0020380193,47.2690274166,SNe_Ia,4.0
ZTF17aaaikab,1.0,north,116.13096000000002,48.4418,-9999.0,116.131128474,48.4431030641,RCF,3.0
ZTF17aaaiuev,1.0,north,114.63698865200001,54.177548536,-9999.0,114.623942108,54.1778509437,SNe_Ia,4.0
ZTF17aaaiuev,2.0,north,114.63698865200001,54.177548536,-9999.0,114.650502013,54.1735493801,SNe_Ia,4.0
ZTF17aaaiuev,3.0,north,114.63698865200001,54.177548536,-9999.0,114.653082319,54.1836204663,SNe_Ia,4.0
ZTF17aaaiwbs,1.0,south,127.80089996,6.27747134,-9999.0,127.811262681,6.28189333805,SNe_Ia,3.0
ZTF17aaaiwbs,2.0,south,127.80089996,6.27747134,-9999.0,127.792219806,6.27344432309,SNe_Ia,3.0
ZTF17aaaiwbs,3.0,south,127.80089996,6.27747134,-9999.0,127.796328243,6.27502276653,SNe_Ia,3.0
ZTF17aaaizgx,1.0,south,136.12024343714285,7.34519842,-9999.0,136.120276761,7.34521366247,SNe_Ia,4.0
ZTF17aaajijv,1.0,south,156.22350308860763,23.542773689873403,-9999.0,156.22309683,23.5448442235,SNe_Ia,3.0
ZTF17aaajijv,2.0,south,156.22350308860763,23.542773689873403,-9999.0,156.21997655,23.5429859621,SNe_Ia,3.0
ZTF17aaajnki,1.0,north,186.45359,33.5469,0.0011,186.45375,33.54686,RCF,3.0
ZTF17aaajpdf,1.0,south,194.99213908,31.111337863999985,-9999.0,194.990452507,31.1094218581,SNe_Ia,4.0
ZTF17aaajpdf,2.0,south,194.99213908,31.111337863999985,-9999.0,194.994498195,31.1087038746,SNe_Ia,4.0
ZTF17aaajpdf,3.0,south,194.99213908,31.111337863999985,-9999.0,194.999179067,31.1146177435,SNe_Ia,4.0
ZTF17aaapmeu,1.0,south,110.60595855454544,22.09024006363636,-9999.0,110.593958333,22.0832777778,SNe_Ia,4.0
ZTF17aaapufz,1.0,south,188.96784,27.93207,0.0026,188.9904,27.95975,RCF,3.0
ZTF17aaaryej,1.0,south,72.12505774411764,0.29831058529411764,-9999.0,72.14375,0.241666666667,SNe_Ia,4.0
ZTF17aaasieh,1.0,north,136.8788645153846,35.64179243076923,-9999.0,136.867558132,35.6413163786,SNe_Ia,4.0
ZTF17aaasieh,2.0,north,136.8788645153846,35.64179243076923,-9999.0,136.893261485,35.6455183278,SNe_Ia,4.0
ZTF17aaasieh,3.0,north,136.8788645153846,35.64179243076923,-9999.0,136.864786903,35.6452022176,SNe_Ia,4.0
ZTF17aaawwbk,1.0,south,52.381618683333336,1.3304006833333333,-9999.0,52.386135389,1.33287024395,SNe_Ia,5.0
ZTF17aaawwbk,2.0,south,52.381618683333336,1.3304006833333333,-9999.0,52.3784196762,1.33044190235,SNe_Ia,5.0
ZTF17aaawwbk,3.0,south,52.381618683333336,1.3304006833333333,-9999.0,52.3751194772,1.3403115724,SNe_Ia,5.0
ZTF17aaayuzc,1.0,north,116.42365646666669,31.71568505833333,-9999.0,116.427208666,31.7244187257,SNe_Ia,3.0
ZTF17aaayuzc,2.0,north,116.42365646666669,31.71568505833333,-9999.0,116.428862888,31.7099725056,SNe_Ia,3.0
ZTF17aaayuzc,3.0,north,116.42365646666669,31.71568505833333,-9999.0,116.431280981,31.7082713132,SNe_Ia,3.0
ZTF17aabbpyc,1.0,north,111.67920746666668,58.41585720000001,-9999.0,111.689749665,58.4212514756,SNe_Ia,4.0
ZTF17aabbpyc,2.0,north,111.67920746666668,58.41585720000001,-9999.0,111.690387281,58.4129480319,SNe_Ia,4.0
ZTF17aabbpyc,3.0,north,111.67920746666668,58.41585720000001,-9999.0,111.66705127,58.4174768595,SNe_Ia,4.0
ZTF17aabcpcp,1.0,north,98.21666,47.52577,-9999.0,98.2169583333,47.5256944444,RCF,3.0
ZTF17aabgaoo,1.0,south,43.78846,3.7797400000000003,-9999.0,43.7884686495,3.7799078371,RCF,3.0
ZTF17aabtgfx,1.0,south,125.09222351363636,12.584452227272726,-9999.0,125.092220398,12.5844830556,SNe_Ia,4.0
ZTF17aabtxcs,1.0,south,175.63285570714288,6.252053685714286,-9999.0,175.637350977,6.25345426415,SNe_Ia,4.0
ZTF17aabtxcs,2.0,south,175.63285570714288,6.252053685714286,-9999.0,175.632436676,6.25573710034,SNe_Ia,4.0
ZTF17aabtxcs,3.0,south,175.63285570714288,6.252053685714286,-9999.0,175.629716436,6.25574071514,SNe_Ia,4.0
ZTF17aaburzk,1.0,south,328.43617,12.590010000000001,-9999.0,328.436909234,12.5895308981,RCF,3.0
ZTF17aaburzk,2.0,south,328.43617,12.590010000000001,-9999.0,328.437363007,12.5903301428,RCF,3.0
ZTF17aabvraa,1.0,south,57.55748148,-17.653029599999996,-9999.0,57.5511759808,-17.6446909306,SNe_Ia,4.0
ZTF17aabvraa,2.0,south,57.55748148,-17.653029599999996,-9999.0,57.5685733253,-17.6610928746,SNe_Ia,4.0
ZTF17aabvraa,3.0,south,57.55748148,-17.653029599999996,-9999.0,57.568258473,-17.6597590564,SNe_Ia,4.0
ZTF17aabvske,1.0,south,57.69295991363637,-13.665293468181815,-9999.0,57.6990927505,-13.6781016043,SNe_Ia,4.0
ZTF17aabvske,2.0,south,57.69295991363637,-13.665293468181815,-9999.0,57.6969170991,-13.659850887,SNe_Ia,4.0
ZTF17aabvske,3.0,south,57.69295991363637,-13.665293468181815,-9999.0,57.7023106096,-13.6553734671,SNe_Ia,4.0
ZTF17aabvttv,1.0,south,55.00266277619048,-13.291587714285713,-9999.0,55.0014149046,-13.2850093237,SNe_Ia,4.0
ZTF17aabvttv,2.0,south,55.00266277619048,-13.291587714285713,-9999.0,55.0072468107,-13.2961432121,SNe_Ia,4.0
ZTF17aabvttv,3.0,south,55.00266277619048,-13.291587714285713,-9999.0,54.9930448078,-13.2816689203,SNe_Ia,4.0
ZTF17aabwhvg,1.0,north,109.85505020156248,53.54355316718749,-9999.0,109.855026085,53.5435576247,SNe_Ia,4.0
ZTF17aabwtry,1.0,north,180.25882846666667,38.254522533333336,-9999.0,180.265794526,38.244283962,SNe_Ia,5.0
ZTF17aabwtry,2.0,north,180.25882846666667,38.254522533333336,-9999.0,180.265003694,38.2441194276,SNe_Ia,5.0
ZTF17aabxoet,1.0,north,207.77220076666663,45.91680264166666,-9999.0,207.772135692,45.9101962008,SNe_Ia,3.0
ZTF17aabxoet,2.0,north,207.77220076666663,45.91680264166666,-9999.0,207.778005256,45.9188472387,SNe_Ia,3.0
ZTF17aabxoet,3.0,north,207.77220076666663,45.91680264166666,-9999.0,207.773117473,45.9211207574,SNe_Ia,3.0
ZTF17aabxonw,1.0,north,178.78181845999995,52.02486938,-9999.0,178.778437666,52.0237166456,SNe_Ia,3.0
ZTF17aabxonw,2.0,north,178.78181845999995,52.02486938,-9999.0,178.779338512,52.0309770015,SNe_Ia,3.0
ZTF17aacaggx,1.0,north,102.52901828571429,29.848713871428572,-9999.0,102.52292949,29.8520848976,SNe_Ia,5.0
ZTF17aacaggx,2.0,north,102.52901828571429,29.848713871428572,-9999.0,102.521473396,29.8482996497,SNe_Ia,5.0
ZTF17aacaggx,3.0,north,102.52901828571429,29.848713871428572,-9999.0,102.532851149,29.8478721498,SNe_Ia,5.0
ZTF17aacedyd,1.0,south,105.30509086451613,27.312991783870963,-9999.0,105.306425786,27.3118060344,SNe_Ia,4.0
ZTF17aackznx,1.0,north,154.39884338999997,29.71764318,-9999.0,154.398839597,29.7176356649,SNe_Ia,4.0
ZTF17aacpqfj,1.0,north,102.52900317142857,29.8487782,-9999.0,102.52292949,29.8520848976,SNe_Ia,5.0
ZTF17aacpqfj,2.0,north,102.52900317142857,29.8487782,-9999.0,102.521473396,29.8482996497,SNe_Ia,5.0
ZTF17aacpqfj,3.0,north,102.52900317142857,29.8487782,-9999.0,102.532851149,29.8478721498,SNe_Ia,5.0
ZTF17aacrrec,1.0,north,153.32462108,32.54669504,-9999.0,153.324639846,32.5468055202,SNe_Ia,4.0
ZTF17aacxmhk,1.0,south,33.94682693636364,-4.868941745454546,-9999.0,33.9497767262,-4.86820063464,SNe_Ia,4.0
ZTF17aacxmhk,2.0,south,33.94682693636364,-4.868941745454546,-9999.0,33.9496559802,-4.86456482337,SNe_Ia,4.0
ZTF17aadbxzc,1.0,north,108.28942241454546,36.93516717272728,-9999.0,108.301068917,36.9393221406,SNe_Ia,3.0
ZTF17aadbxzc,2.0,north,108.28942241454546,36.93516717272728,-9999.0,108.303017917,36.938783649,SNe_Ia,3.0
ZTF17aadbxzc,3.0,north,108.28942241454546,36.93516717272728,-9999.0,108.291134325,36.9389074106,SNe_Ia,3.0
ZTF17aadctrq,1.0,north,102.20231347333332,34.36947192,-9999.0,102.202301737,34.3695158801,SNe_Ia,4.0
ZTF17aadkayz,1.0,south,112.14096756666667,28.51046905,-9999.0,112.144043576,28.5093253355,SNe_Ia,5.0
ZTF17aadkayz,2.0,south,112.14096756666667,28.51046905,-9999.0,112.144016568,28.5104401523,SNe_Ia,5.0
ZTF17aadkayz,3.0,south,112.14096756666667,28.51046905,-9999.0,112.130617484,28.5134507781,SNe_Ia,5.0
ZTF17aadkdks,1.0,south,113.15600251818182,24.73403280909091,-9999.0,113.155517748,24.7367986021,SNe_Ia,4.0
ZTF17aadkdks,2.0,south,113.15600251818182,24.73403280909091,-9999.0,113.163130726,24.726473745,SNe_Ia,4.0
ZTF17aadkdks,3.0,south,113.15600251818182,24.73403280909091,-9999.0,113.168383819,24.7234323333,SNe_Ia,4.0
ZTF18aaaakrs,1.0,north,88.98835264561407,59.91592264561404,-9999.0,89.0078237422,59.9216575751,SNe_Ia,4.0
ZTF18aaaakrs,2.0,north,88.98835264561407,59.91592264561404,-9999.0,89.0113858374,59.9186597232,SNe_Ia,4.0
ZTF18aaaakrs,3.0,north,88.98835264561407,59.91592264561404,-9999.0,89.0091435814,59.918703907,SNe_Ia,4.0
ZTF18aaaakwi,1.0,north,104.43275738,64.28759756,-9999.0,104.435344237,64.2817067424,SNe_Ia,4.0
ZTF18aaaakwi,2.0,north,104.43275738,64.28759756,-9999.0,104.447976206,64.285361129,SNe_Ia,4.0
ZTF18aaaakwi,3.0,north,104.43275738,64.28759756,-9999.0,104.432781543,64.2845487653,SNe_Ia,4.0
ZTF18aaaarvh,1.0,north,97.25698816666666,47.13796546666666,-9999.0,97.2559948637,47.1337302814,SNe_Ia,4.0
ZTF18aaaarvh,2.0,north,97.25698816666666,47.13796546666666,-9999.0,97.248657669,47.1373261565,SNe_Ia,4.0
ZTF18aaaarvh,3.0,north,97.25698816666666,47.13796546666666,-9999.0,97.2602535136,47.1294900402,SNe_Ia,4.0
ZTF18aaabbuy,1.0,north,116.87121444642858,60.933525728571404,-9999.0,116.871211113,60.9335108602,SNe_Ia,3.0
ZTF18aaabesp,1.0,north,118.78225232686569,63.65179541791042,-9999.0,118.782287956,63.6518050054,SNe_Ia,4.0
ZTF18aaabiok,1.0,south,121.87384764285713,15.578308885714288,-9999.0,121.874529329,15.5807512568,SNe_Ia,5.0
ZTF18aaabiok,2.0,south,121.87384764285713,15.578308885714288,-9999.0,121.87638043,15.570783813,SNe_Ia,5.0
ZTF18aaabiok,3.0,south,121.87384764285713,15.578308885714288,-9999.0,121.884361895,15.5851729816,SNe_Ia,5.0
ZTF18aaaboiv,1.0,north,119.270460644,58.544511533999994,-9999.0,119.276642354,58.5509022139,SNe_Ia,4.0
ZTF18aaabpbn,1.0,north,126.5258548625,43.1053611875,-9999.0,126.525850145,43.1053968883,SNe_Ia,4.0
ZTF18aaabpbn,2.0,north,126.5258548625,43.1053611875,-9999.0,126.523584381,43.1053364371,SNe_Ia,4.0
ZTF18aaabyzx,1.0,north,116.2700291,70.78129072222222,-9999.0,116.266292418,70.7800041252,SNe_Ia,4.0
ZTF18aaabyzx,2.0,north,116.2700291,70.78129072222222,-9999.0,116.307336558,70.7845959404,SNe_Ia,4.0
ZTF18aaacsup,1.0,north,160.1829882909091,33.016470465454546,-9999.0,160.186086292,33.0169950627,SNe_Ia,3.0
ZTF18aaacsup,2.0,north,160.1829882909091,33.016470465454546,-9999.0,160.17963869,33.0181825863,SNe_Ia,3.0
ZTF18aaactjb,1.0,north,133.43686543103448,49.31111308275862,-9999.0,133.439181953,49.3109453489,SNe_Ia,4.0
ZTF18aaadhic,1.0,north,164.6572424839081,56.46976691149425,-9999.0,164.652756461,56.471882045,SNe_Ia,3.0
ZTF18aaadhic,2.0,north,164.6572424839081,56.46976691149425,-9999.0,164.66256368,56.467896397,SNe_Ia,3.0
ZTF18aaadhic,3.0,north,164.6572424839081,56.46976691149425,-9999.0,164.654705831,56.4663567981,SNe_Ia,3.0
ZTF18aaagsrr,1.0,north,137.65429563714292,33.49011517714286,-9999.0,137.656736404,33.4913551461,SNe_Ia,3.0
ZTF18aaagsrr,2.0,north,137.65429563714292,33.49011517714286,-9999.0,137.666696507,33.499102553,SNe_Ia,3.0
