"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"56187","AT 2020euc","18:20:03.760","-16:13:39.65","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bjz","Gaia - Gaia-photometric","","1","1","","19.94","G-Gaia","2020-03-17 14:16:48.000","Gaia_Bot1","",""
"56186","AT 2020eub","10:06:42.564","+11:27:26.10","","","Unknown","","GSNST","GSNST","","GSNST","GSNST-20ap","Other - Other","","1","1","","17.531","Clear-","2020-03-23 01:11:00.384","Kendurkar","",""
"56185","AT 2020eua","10:11:20.140","+05:24:24.39","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ags","PS1 - GPC1","","1","1","","21.01","w-PS1","2020-03-21 08:58:33.600","PS2_Bot1","",""
"56184","AT 2020etz","10:48:58.117","+05:00:21.60","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20agr","PS1 - GPC1","","1","1","","20.52","w-PS1","2020-03-21 08:48:28.800","PS2_Bot1","",""
"56183","AT 2020ety","10:06:40.336","+01:05:06.12","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20agp","PS1 - GPC1","","1","1","","20.97","w-PS1","2020-03-21 08:58:33.600","PS2_Bot1","",""
"56182","AT 2020etx","10:31:37.849","+05:27:22.49","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20ago","PS1 - GPC1","","1","1","","21.14","w-PS1","2020-03-21 08:47:02.400","PS2_Bot1","",""
"56181","AT 2020etw","10:53:24.264","-06:34:09.55","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20agn","PS1 - GPC1","","1","1","","20.4","w-PS1","2020-03-21 08:51:21.600","PS1_Bot1","",""
"56180","AT 2020etv","15:15:28.547","+04:21:45.38","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20agm","PS1 - GPC1","","1","1","","21.07","w-PS1","2020-03-19 14:21:07.200","PS1_Bot1","",""
"56179","AT 2020etu","15:29:13.243","+01:23:46.56","","","","","Pan-STARRS1, ATLAS","Pan-STARRS1, ATLAS","","ATLAS; Pan-STARRS1","PS20agl","ATLAS1 - ACAM1, PS1 - GPC1","","1","1","","19.31","w-PS1","2020-03-19 14:24:00.000","PS1_Bot1","",""
"56178","AT 2020ett","11:20:49.744","-32:03:13.30","","","","","ATLAS","ATLAS","","ATLAS","ATLAS20iew","ATLAS1 - ACAM1","","1","1","","19.488","cyan-ATLAS","2020-03-21 08:19:40.800","ATLAS_Bot1","",""
