"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"54022"	"SN 2020chn"	"11:21:14.547"	"+38:46:19.54"	"SN Ia"	"0.0864"	""	""	"ZTF, ATLAS"	"ZTF, ATLAS"	"ZTF"	"ATLAS; ZTF"	"ZTF20aamqslk"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	"P60 - SEDM"	"1"	"1"	""	"19"	"g-ZTF"	"2020-02-12 05:43:35.000"	"ZTF_AMPEL_NEW"	""	""
"54021"	"SN 2020chm"	"09:42:04.523"	"+41:26:23.44"	"SN II"	"0.0483"	""	""	"ZTF, ATLAS, Pan-STARRS1"	"ZTF, ATLAS, Pan-STARRS1"	"ZTF"	"ATLAS; Pan-STARRS1; ZTF"	"ZTF20aamoaim"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	"P200 - DBSP"	"1"	"1"	""	"18.93"	"r-ZTF"	"2020-02-12 07:09:00.000"	"ZTF_AMPEL_NEW"	""	""
"54020"	"SN 2020chl"	"11:43:06.374"	"+15:34:01.73"	"SN Ia"	"0.0702"	""	""	"ZTF"	"ZTF"	"ZTF"	"ZTF"	"ZTF18aaaqexr"	"P48 - ZTF-Cam"	"P60 - SEDM"	"1"	"1"	""	"19.13"	"g-ZTF"	"2020-02-07 10:32:49.000"	"ZTF_AMPEL_NEW"	""	""
"54019"	"AT 2020chk"	"08:43:19.895"	"-01:45:24.02"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aamqjra"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.37"	"g-ZTF"	"2020-02-12 05:04:50.000"	"ZTF_AMPEL_NEW"	""	""
"54018"	"AT 2020chj"	"07:44:03.700"	"+17:22:54.35"	""	""	""	""	"ZTF, ATLAS"	"ZTF, ATLAS"	""	"ATLAS; ZTF"	"ZTF20aaldpjs"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"19.47"	"r-ZTF"	"2020-02-05 04:52:12.000"	"ZTF_AMPEL_COMPLETE"	""	""
"54017"	"SN 2020chi"	"09:38:05.596"	"+24:00:41.44"	"SN Ia"	"0.07"	""	""	"ZTF, ATLAS, Pan-STARRS1"	"ZTF, ATLAS, Pan-STARRS1"	"ZTF"	"ATLAS; Pan-STARRS1; ZTF"	"ZTF20aamnvij"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	"P60 - SEDM"	"1"	"1"	""	"19.14"	"g-ZTF"	"2020-02-12 05:08:49.000"	"ZTF_AMPEL_NEW"	""	""
"54016"	"AT 2020chh"	"07:30:16.060"	"+12:53:29.39"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aammtvz"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"17.25"	"r-ZTF"	"2020-02-11 04:07:47.000"	"ZTF_AMPEL_NEW"	""	""
"54015"	"AT 2020chg"	"06:20:23.744"	"-27:42:52.03"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF19aabdfej"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"17.15"	"g-ZTF"	"2020-02-02 05:01:48.000"	"ZTF_AMPEL_COMPLETE"	""	""
"54014"	"AT 2020chf"	"03:55:38.751"	"-12:30:37.15"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF19aainjsn"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.05"	"r-ZTF"	"2020-02-12 03:03:29.000"	"ZTF_AMPEL_NEW"	""	""
"54013"	"AT 2020che"	"01:46:15.053"	"+44:34:34.77"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aalbgfn"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.47"	"r-ZTF"	"2020-02-12 02:48:59.000"	"ZTF_AMPEL_COMPLETE"	""	""
