"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"54528"	"AT 2020dat"	"12:27:07.287"	"+67:13:59.27"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20fgv"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.734"	"cyan-ATLAS"	"2020-02-05 14:26:52.000"	"ATLAS_Bot1"	""	""
"54527"	"AT 2020das"	"13:38:26.855"	"+00:17:02.51"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20fht"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.636"	"cyan-ATLAS"	"2020-02-03 13:55:12.000"	"ATLAS_Bot1"	""	""
"54526"	"AT 2020dar"	"13:45:08.451"	"+13:03:30.68"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20fdc"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.421"	"cyan-ATLAS"	"2020-02-03 14:42:43.000"	"ATLAS_Bot1"	""	""
"54525"	"AT 2020daq"	"13:00:33.302"	"+14:53:31.69"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20ezs"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.256"	"orange-ATLAS"	"2020-02-02 14:19:40.000"	"ATLAS_Bot1"	""	""
"54524"	"AT 2020dap"	"02:18:47.056"	"-05:45:22.36"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20ffe"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.229"	"orange-ATLAS"	"2020-02-05 05:54:14.000"	"ATLAS_Bot1"	""	""
"54523"	"AT 2020dao"	"07:49:04.636"	"+11:47:12.41"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20exy"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.357"	"orange-ATLAS"	"2020-02-01 10:32:09.000"	"ATLAS_Bot1"	""	""
"54522"	"AT 2020dan"	"16:08:38.242"	"+45:47:38.73"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20fau"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.234"	"orange-ATLAS"	"2020-01-22 13:04:48.000"	"ATLAS_Bot1"	""	""
"54521"	"AT 2020dam"	"17:53:26.648"	"+06:00:31.53"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaqftet"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.21"	"r-ZTF"	"2020-02-21 12:04:28.000"	"ZTF_AMPEL_NEW"	""	""
"54520"	"AT 2020dal"	"17:45:58.823"	"+12:16:43.63"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaqegwf"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"18.56"	"r-ZTF"	"2020-02-21 12:05:07.000"	"ZTF_AMPEL_NEW"	""	""
"54519"	"AT 2020dak"	"17:03:17.810"	"-12:08:56.08"	""	""	""	""	"ZTF, GaiaAlerts"	"ZTF, GaiaAlerts"	""	"GaiaAlerts; ZTF"	"ZTF20aaqdvia"	"Gaia - Gaia-photometric, P48 - ZTF-Cam"	""	"1"	"1"	""	"17.69"	"r-ZTF"	"2020-02-21 11:36:16.000"	"ZTF_AMPEL_NEW"	""	""
"54518"	"AT 2020daj"	"11:50:32.694"	"+51:34:38.34"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20vy"	"PS1 - GPC1"	""	"1"	"1"	""	"20.68"	"i-Sloan"	"2020-02-05 13:10:33.000"	"PS1_Bot1"	""	""
"54517"	"AT 2020dai"	"08:26:04.609"	"-11:36:30.56"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20vx"	"PS1 - GPC1"	""	"1"	"1"	""	"20.24"	"w-PS1"	"2020-01-18 10:29:16.000"	"PS1_Bot1"	""	""
