,Candidate,Instrument,Pipeline,Min_Date,Min_MJD,ra,dec,Max_Mag
0,DC21cwlhe,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,35.2062672989983,-4.5087095023339545,22.93
1,DC21cxopf,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,36.21664343283003,-4.203057537529837,21.94
2,DC21cxsgd,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.99310741278791,-6.79753675680497,22.45
3,DC21cxsgi,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,34.97566440793141,-6.975368998257104,22.98
4,DC21cxsli,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.99381759666869,-7.332503959639396,22.79
5,DC21cyucv,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,36.43406831302109,-3.7239976560194332,22.2
6,DC21cyugz,DECam,DECAT_RK,2022-10-06T05:29:45.600,59858.229,35.724534443161836,-4.396634895167894,22.09
7,DC21dbdrk,DECam,DECAT_RK,2022-10-06T05:25:26.400,59858.226,35.86020595937633,-4.951705988792257,22.19
8,DC21dbdup,DECam,DECAT_RK,2022-10-06T05:34:04.800,59858.232,35.92515268025566,-4.003499946399512,22.64
9,DC21dfhqk,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,35.9459707554928,-4.563291460225195,22.47
10,DC22eadcl,DECam,DECAT_RK,2022-10-23T05:57:07.200,59875.248,35.775232878791506,-4.556666734672058,22.42
11,DC22eafic,DECam,DECAT_RK,2022-10-06T05:15:21.600,59858.219,35.904604124337155,-7.289826002815494,21.65
12,DC22eerot,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.097820113091366,-6.833120940954924,21.4
13,DC22iomqd,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,34.51232051204084,-4.528237046084336,23.01
14,DC22iomro,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.395384146904505,-4.562325238437066,22.6
15,DC22iomsc,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.02049196162092,-4.239341852424133,22.23
16,DC22iomsg,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.58364451861893,-4.512347509148108,23.17
