Id,Survey,RA,Dec,Field,PROGRAM
[VV2006] J095344.7+010354,PTF,148.43670041260623,1.0651939433802777,COSMOS,SMBBH
[VV2006] J095523.5+014843,PS1,148.84850647425415,1.8123309007150001,COSMOS,SMBBH
PSO J149.2447+03.1393,PS1,149.24458333333334,3.1391666666666667,COSMOS,SMBBH
ACS-GC 20188359,PS1,149.49884735730538,2.7826571228008334,COSMOS,SMBBH
[VV2006] J095844.9+014309,PS1,149.68725446912705,1.7191673580430558,COSMOS,SMBBH
[VV2006] J095945.5+013032,PS1,149.9400331516008,1.5089462147813888,COSMOS,SMBBH
[VV2006] J100340.6+032316,PS1,150.9190816443275,3.3880079987466667,COSMOS,SMBBH
SDSS_J133127.31+182416.9,CRTS,202.86374999999998,18.40475,M-BHB 1,SMBBH
SDSS_J133516.17+183341.4,CRTS,203.81708333333333,18.561611111111112,M-BHB 1,SMBBH
SDSS_J133631.45+175613.8,CRTS,204.1308333333333,17.93725,M-BHB 1,SMBBH
SDSS_J133654.44+171040.3,CRTS,204.22666666666663,17.178,M-BHB 1,SMBBH
3XMM J022249.6-041353,PS1,35.70677717522541,-4.231435123996389,XMM LSS,SMBBH
PSO J035.8704-04.0263,PS1,35.870394858893334,-4.026353569933334,XMM LSS,SMBBH
