objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202301180955057p023542,09:55:05.719 +02:35:42.163,148.7738331066005,2.595045299116423,148.7737847641361,2.595215830451563,8,2023-01-18T07:01:07.067,23.13104301307454,g,2023-01-30T05:46:43.391,22.993857243621736,i,2023-01-30T05:46:43.391,22.993857243621736,i,1488p025_463,148.7735127138572,2.594368684989864,24.061163514852524,23.92755478620529,22.595849558711052,nan,nan,NONE,NONE
C202301031001413p035611,10:01:41.391 +03:56:11.103,150.4224630877329,3.936417706129306,150.4224653402601,3.936578593663533,8,2023-01-03T06:16:58.281,23.151080678808253,i,2023-01-24T06:17:03.839,22.086988376468366,i,2023-01-30T05:22:31.511,22.120764747793686,i,1503p040_4308,150.4223978004053,3.936529154993813,19.586336612701416,18.40178072452545,17.480788230895996,0.2349,0.0455,phot,SDSS-DR12
A202301031001283p024231,10:01:28.352 +02:42:31.651,150.3681350285021,2.708792163615413,150.3680494325111,2.708755143216163,75,2023-01-03T05:38:43.604,21.757435783432427,r,2023-01-06T05:57:06.421,20.65198400080748,i,2023-01-30T06:29:18.005,21.735078879958934,i,1503p027_2838,150.3681866303754,2.708816864392352,19.036033749580383,18.52407693862915,18.122472167015076,0.08415,nan,spec,NED
C202301031007207p013849,10:07:20.779 +01:38:49.429,151.8365824192458,1.64706385359988,151.8364929503335,1.647120873806731,42,2023-01-03T05:49:20.364,21.118620262133216,g,2023-01-03T06:27:12.097,20.095043161213077,r,2023-01-30T06:29:18.005,22.797634127713994,i,1518p017_1626,151.836725441842,1.647257344578817,19.26785707473755,18.13280999660492,17.32410728931427,0.1625,0.0197,phot,SDSS-DR12
A202301030957288p033925,09:57:28.832 +03:39:25.369,149.3701357488056,3.657047146563578,149.3701615424418,3.656968881512657,46,2023-01-03T05:37:14.779,22.29236030280909,g,2023-01-03T06:53:20.394,21.407711654548013,i,2023-01-30T05:38:46.147,22.178213796137065,r,1493p037_3296,149.3701006078836,3.65697829682819,17.970653176307678,17.09397315979004,16.374775767326355,0.16821,1e-05,spec,SDSS-DR12
C202301031001228p013218,10:01:22.857 +01:32:18.381,150.3452408418152,1.538439266367081,150.3451617025867,1.538437598140564,44,2023-01-03T05:49:20.364,21.893112213772294,g,2023-01-03T07:03:33.564,21.537459059363314,r,2023-01-30T06:44:02.185,23.370775352166206,g,1503p015_2276,150.345021446637,1.538468244764276,24.344802498817444,23.448279425501823,22.983920723199844,nan,nan,NONE,NONE
A202301030956222p025028,09:56:22.251 +02:50:28.157,149.0927141106804,2.841154873571336,149.092655042273,2.841137039612838,40,2023-01-03T05:37:14.779,21.876076566528518,g,2023-01-03T05:55:22.714,21.74178241555776,g,2023-01-30T05:38:46.147,22.769569320540718,r,1491p027_1878,149.0926511372337,2.841149479150194,21.025259792804718,20.151804238557816,19.428565800189972,0.5984,0.1857,phot,SDSS-DR12
A202301031004369p021054,10:04:36.917 +02:10:54.912,151.1538212215056,2.181920164001726,151.1539019511246,2.181950234682658,34,2023-01-03T05:50:49.262,22.93914821845552,r,2023-01-24T06:45:20.388,22.323034643105863,r,2023-01-30T06:44:02.185,22.766701348152445,g,1511p022_3396,151.1538331424602,2.181926900660855,23.09910610318184,22.337992899119854,20.88178053498268,nan,nan,NONE,NONE
T202301030956585p022251,09:56:58.566 +02:22:51.823,149.2440250981498,2.381061981853806,149.2440147697871,2.381026741968767,35,2023-01-03T05:43:17.978,22.66735136844818,g,2023-01-18T06:46:22.703,22.5456883158486,i,2023-01-30T05:46:43.391,22.59739738911242,i,1491p025_5149,149.244644996531,2.381306387103642,20.84716111421585,20.237736850976944,19.883450865745544,0.4798,0.072,phot,SDSS-DR12
T202301031001084p025117,10:01:08.458 +02:51:17.379,150.2852430248712,2.854827751947574,150.2852143343164,2.854823509873058,31,2023-01-03T05:38:43.604,23.134890524119907,r,2023-01-27T05:36:45.311,22.317957770140133,i,2023-01-30T05:22:31.511,22.456786912306114,i,1503p027_944,150.2850379382795,2.854074937670745,17.960709929466248,16.953204870224,16.15746021270752,0.10273,2e-05,spec,SDSS-DR12
