objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
C202301031000385p021718,10:00:38.575 +02:17:18.422,150.1607331905841,2.288450737502334,150.1607394655497,2.288330747842284,9,2023-01-03T06:16:58.281,23.241115589294893,i,2023-01-03T06:47:17.840,22.824988131089018,i,2023-01-18T07:08:43.057,23.307554336250547,r,1501p022_4407,150.1607231514735,2.288366617491411,24.258980602025986,23.05285558104515,22.558254012838006,0.5237,nan,spec,NED
C202301031002014p013725,10:02:01.417 +01:37:25.159,150.5059055066143,1.623655370446636,150.505921885038,1.623668373422943,9,2023-01-03T06:29:07.229,22.489820299573353,i,2023-01-03T06:29:07.229,22.489820299573353,i,2023-01-18T07:10:38.936,22.81435950415983,i,1506p017_158,150.506002239978,1.623862186508608,21.218464076519012,20.53723007440567,20.179116278886795,0.2061,nan,spec,NED
A202301031003057p023643,10:03:05.768 +02:36:43.717,150.7740349355102,2.612143616593508,150.7740349355102,2.612143616593508,9,2023-01-03T06:29:07.229,22.343818927614667,i,2023-01-03T06:29:07.229,22.343818927614667,i,2023-01-18T07:10:38.936,22.689464882842167,i,1508p025_527,150.7740094034017,2.612171191271849,21.820351853966713,20.8675454556942,20.1786208152771,0.2345,nan,spec,NED
A202301030958500p022005,09:58:50.056 +02:20:05.439,149.7085695970559,2.3348444396563,149.7085582859583,2.33483739490561,50,2023-01-03T05:37:14.779,21.458971082781567,g,2023-01-06T06:07:19.267,21.04838848564099,r,2023-01-18T07:14:47.486,21.88941446182444,r,1496p022_5043,149.7086315087354,2.334850114558924,18.744443655014038,17.694579660892487,16.88638150691986,0.17439,nan,spec,NED
A202301031003162p024237,10:03:16.240 +02:42:37.340,150.8176677489501,2.710372308955864,150.8177109263502,2.710364553832994,42,2023-01-03T05:37:14.779,21.998757987417264,g,2023-01-06T05:17:28.965,21.54892056637608,g,2023-01-18T07:14:47.486,22.52136949339001,r,1508p027_1280,150.8177802600899,2.710395229674563,18.979098796844482,18.61966371536255,18.158684074878693,0.2166,4e-05,spec,SDSS-DR12
C202301031007207p013849,10:07:20.779 +01:38:49.429,151.8365824192458,1.64706385359988,151.8365795573903,1.64708643046212,24,2023-01-03T05:49:20.364,20.95982607870519,g,2023-01-03T07:03:33.564,20.71775318333129,r,2023-01-18T07:10:38.936,21.547035902417072,i,1518p017_1626,151.836725441842,1.647257344578817,19.26785707473755,18.13280999660492,17.32410728931427,0.1625,0.0197,phot,SDSS-DR12
A202301031001283p024231,10:01:28.352 +02:42:31.651,150.3681350285021,2.708792163615413,150.3680494325111,2.708755143216163,37,2023-01-03T05:40:38.593,21.596814754175348,i,2023-01-03T06:45:22.042,21.35229165914698,r,2023-01-18T07:14:47.486,21.87470719052703,r,1503p027_2838,150.3681866303754,2.708816864392352,19.036033749580383,18.52407693862915,18.122472167015076,0.08415,nan,spec,NED
A202301030956222p025028,09:56:22.251 +02:50:28.157,149.0927141106804,2.841154873571336,149.092655042273,2.841137039612838,25,2023-01-03T05:37:14.779,21.876076566528518,g,2023-01-03T05:55:22.714,21.74178241555776,g,2023-01-18T07:14:47.486,22.21699604555237,r,1491p027_1878,149.0926511372337,2.841149479150194,21.025259792804718,20.151804238557816,19.428565800189972,0.5984,0.1857,phot,SDSS-DR12
C202301031001228p013218,10:01:22.857 +01:32:18.381,150.3452408418152,1.538439266367081,150.3451617025867,1.538437598140564,24,2023-01-03T05:49:20.364,21.893112213772294,g,2023-01-03T07:03:33.564,21.537459059363314,r,2023-01-18T07:10:38.936,21.731247876742515,i,1503p015_2276,150.345021446637,1.538468244764276,24.344802498817444,23.448279425501823,22.983920723199844,nan,nan,NONE,NONE
A202301031004369p021055,10:04:36.931 +02:10:55.124,151.1538792080663,2.18197891402109,151.1538982887499,2.181967073488917,18,2023-01-03T06:29:07.229,23.08848478919409,i,2023-01-18T06:32:21.523,22.409471730959844,r,2023-01-18T07:10:38.936,22.5685876995421,i,1511p022_3396,151.1538331424602,2.181926900660855,23.09910610318184,22.337992899119854,20.88178053498268,nan,nan,NONE,NONE
A202301030957057p013008,09:57:05.796 +01:30:08.897,149.2741533748548,1.502471405736037,149.2741467216774,1.502480264427599,18,2023-01-03T06:01:26.394,22.01423357728956,g,2023-01-06T05:47:40.526,21.621570469815843,g,2023-01-18T07:04:34.511,21.839913259309597,i,1493p015_738,149.2740776647296,1.502467946863119,19.597341418266296,19.293366074562073,19.115032255649567,0.2443,nan,spec,NED
T202301031001084p025117,10:01:08.435 +02:51:17.240,150.2851495862115,2.854788937619691,150.2851695566471,2.854850170401356,16,2023-01-03T05:40:38.593,22.82389027345972,i,2023-01-18T06:22:11.121,22.417598784856803,i,2023-01-18T07:14:47.486,22.66883906280595,r,1503p027_944,150.2850379382795,2.854074937670745,17.960709929466248,16.953204870224,16.15746021270752,0.10273,2e-05,spec,SDSS-DR12
A202301031000149p022718,10:00:14.915 +02:27:18.245,150.0621462545724,2.455068207453382,150.062165695343,2.455077789321591,17,2023-01-03T05:37:14.779,22.679874914704488,g,2023-01-04T06:42:42.935,22.457854765298563,r,2023-01-18T07:13:19.243,22.8148232799041,g,1501p025_1562,150.0621369513005,2.455028390341817,21.38724312186241,21.133732497692108,20.75047731399536,0.7295,nan,spec,NED
T202301030954348p005813,09:54:34.875 +00:58:13.844,148.6453160358546,0.9705123902827146,148.6452911661456,0.9705364435179713,13,2023-01-03T05:46:42.460,22.566443304454552,i,2023-01-03T06:41:14.138,22.306476225611533,i,2023-01-18T07:04:34.511,22.686695035779685,i,1486p010_3053,148.64495068863,0.9702644923320138,20.228006690740585,19.638218879699707,19.313939809799194,0.1416,0.0658,phot,SDSS-DR12
T202301031000418p032202,10:00:41.879 +03:22:02.971,150.1744990697999,3.367492070089459,150.1745502490608,3.367435065238997,14,2023-01-03T05:56:51.824,22.94483856736231,r,2023-01-18T07:14:47.486,22.48519412851683,r,2023-01-18T07:14:47.486,22.48519412851683,r,1500p032_4920,150.174842016037,3.366407394254021,22.631466193124652,20.758807808160782,19.82907474040985,0.4477,0.0286,phot,SDSS-DR12
