objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host
C202401130957230p012257,09:57:22.998 +01:22:57.409,149.3458267229543,1.382613785901925,149.3458335095252,1.38263559718824,9,2024-01-13T06:10:04.285,22.91046178266513,g,2024-01-16T06:17:29.555,22.312891437343392,g,2024-01-16T06:26:34.520,22.598729414828604,i,1493p015_5789,149.3457525000694,1.38258892716317,21.095742136240005,19.57039773464203,18.674488365650177,None,None
T202401040957474p022749,09:57:47.413 +02:27:49.396,149.4475557566255,2.463721312191092,149.4475581749197,2.463743949512596,7,2024-01-04T07:23:03.976,23.279264700078983,r,2024-01-10T05:43:30.846,23.113612466845883,r,2024-01-13T06:15:27.412,23.518378704330345,r,1493p025_15122,149.4484706807324,2.463350707352268,19.06064212322235,18.363505005836487,17.89978951215744,None,None
A202401100959084p034424,09:59:08.414 +03:44:24.215,149.7850585103612,3.740059882009022,149.7850511207251,3.740028332640601,7,2024-01-10T05:28:39.299,23.524367006548708,g,2024-01-10T05:32:23.313,23.38907150518459,r,2024-01-13T06:04:20.788,23.744245419875035,r,1498p037_5692,149.7850468443072,3.740003450648863,24.298393428325653,24.053588807582855,23.988976925611496,nan,nan
T202401040956277p025058,09:56:27.682 +02:50:57.652,149.1153446088371,2.849347899269981,149.1153292968949,2.849289037523934,5,2024-01-04T07:10:13.339,23.21498534373543,r,2024-01-04T07:13:38.011,22.76893368456166,i,2024-01-13T06:06:01.119,23.214542856058227,i,1491p027_5716,149.1156641476473,2.849268270099965,23.460587188601494,21.933279000222683,20.906416475772858,nan,nan
A202401041000297p022130,10:00:29.685 +02:21:29.861,150.123688773023,2.358294923265241,150.1236833090021,2.358281431483161,43,2024-01-04T07:06:29.875,22.54112249175386,g,2024-01-16T06:08:14.301,22.429393220112672,g,2024-01-16T06:32:17.921,22.597000970358778,r,1501p022_10323,150.1236528653153,2.358252859725423,21.0915806889534,20.65737009048462,19.971480667591095,None,None
T202401040959206p014201,09:59:20.606 +01:42:01.256,149.8358592412339,1.700349043642714,149.8358712428155,1.700337265683931,41,2024-01-04T07:17:42.690,22.764852218047082,g,2024-01-04T07:17:42.690,22.764852218047082,g,2024-01-16T06:21:11.289,23.498416860036652,r,1498p017_6878,149.8349881622538,1.701922753226476,25.591734051704407,25.088730454444885,25.225027799606323,nan,nan
T202401041000291p014051,10:00:29.060 +01:40:50.746,150.1210852185676,1.680762781864428,150.1211094320038,1.680751179768669,38,2024-01-04T07:21:22.874,22.46033895946129,r,2024-01-04T07:32:33.421,22.367160586827595,r,2024-01-16T06:37:41.343,22.952847959219124,i,1501p017_8572,150.1206420069049,1.678045058031439,22.40465972572565,21.692853569984436,21.431991159915924,nan,nan
T202401040958146p021811,09:58:14.581 +02:18:11.447,149.5607552503814,2.303179821749235,149.5607639096038,2.303207676316358,38,2024-01-04T07:10:13.339,22.919360061977258,r,2024-01-04T07:26:46.312,22.33961491576553,i,2024-01-16T06:26:34.520,22.82824741683111,i,1496p022_4544,149.5574928761357,2.304666827200886,22.24767915904522,21.668547093868256,20.47585278749466,nan,nan
C202401040958430p031850,09:58:43.011 +03:18:50.012,149.6792141248031,3.313892431262486,149.679262588626,3.31386170614192,24,2024-01-04T07:06:29.875,22.85195802758819,g,2024-01-13T06:06:01.119,21.510992485711625,i,2024-01-16T06:15:27.873,21.753380417693432,i,1495p032_16559,149.6791630313029,3.313820850196829,18.54416459798813,17.709198594093323,17.069010138511658,None,None
T202401040954428p013944,09:54:42.801 +01:39:43.739,148.6783413775111,1.662149840956959,148.6783223683836,1.662156677954403,22,2024-01-04T07:17:42.690,23.048321697132156,g,2024-01-04T07:23:03.976,22.173461673245747,r,2024-01-16T06:26:34.520,22.658318522885473,i,1486p017_10206,148.6779989628227,1.662310517326342,22.133433483541012,20.276116877794266,19.243896901607513,nan,nan
A202401040959548p013207,09:59:54.774 +01:32:06.524,149.9782261633427,1.535145632181696,149.9782791800233,1.535168325838512,22,2024-01-04T07:17:42.690,22.087032952278264,g,2024-01-04T07:30:42.039,21.765607182635264,g,2024-01-16T06:30:27.615,21.98112677748452,g,1498p015_17750,149.9782451490315,1.535138545837223,20.53292617201805,20.132268965244293,19.59038406610489,None,None
C202401041000510p024120,10:00:51.018 +02:41:20.183,150.2125765823872,2.688939727200654,150.212561843082,2.688924368739916,20,2024-01-04T07:10:13.339,22.87066879461656,r,2024-01-07T06:14:33.438,22.7197344941622,i,2024-01-16T06:15:27.873,22.763657026878107,i,1501p027_14842,150.2125355063071,2.688798300618973,24.057205021381378,22.837212719023228,22.202967703342438,nan,nan
A202401071000079p030049,10:00:07.913 +03:00:49.154,150.0329709720804,3.013654039921196,150.0330110484494,3.013684492472295,15,2024-01-07T06:09:08.803,23.162471369296256,r,2024-01-13T06:02:40.023,22.694026195197353,r,2024-01-16T06:15:27.873,22.757984945714888,i,1501p030_2881,150.0329349089795,3.013693842255814,24.274887293577194,22.588495071977377,21.190591007471085,nan,nan
T202401041004046p014303,10:04:04.594 +01:43:02.664,151.0191447337885,1.717406696098318,151.0191814745334,1.717427726879313,14,2024-01-04T07:32:33.421,23.208305127047563,r,2024-01-04T07:34:15.335,22.94166465807724,r,2024-01-16T06:33:59.944,23.27952469972096,r,1511p017_1737,151.0204565910509,1.71829877351041,17.48209297657013,16.916759610176086,16.499264240264893,None,None
C202401101003414p020208,10:03:41.362 +02:02:08.277,150.9223443483271,2.035632749275632,150.922331319291,2.035617337117543,13,2024-01-10T05:54:41.030,23.014802477075932,r,2024-01-16T06:32:17.921,22.610843354981853,r,2024-01-16T06:37:41.343,22.81897451850017,i,1508p020_11595,150.9221515759843,2.035764589652393,21.92192565649748,20.826760232448578,20.23528128862381,None,None
A202401101003534p024257,10:03:53.416 +02:42:57.492,150.9725674852642,2.715970001452193,150.972570107926,2.715916533754235,16,2024-01-10T05:50:57.769,23.50563104798839,g,2024-01-16T06:33:59.944,22.169257728955422,r,2024-01-16T06:37:41.343,22.653913463548818,i,1508p027_17681,150.9725852572997,2.715909619712605,23.471315875649452,22.365766940638423,21.654088497161865,nan,nan
