objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host
C202311080222159m065922,02:22:15.933 -06:59:21.567,35.56638909713178,-6.989324308649747,35.5664189813153,-6.989311443957017,9,2023-11-08T05:26:55.779,22.112935809732086,r,2023-11-11T05:09:18.073,21.743319197179297,i,2023-11-11T05:09:18.073,21.743319197179297,i,0356m070_3386,35.56628701201689,-6.989426606976829,22.424241863191128,21.668850854039192,21.171311289072037,nan,nan
T202311080223067m040730,02:23:06.745 -04:07:29.919,35.77810832420537,-4.124977552202257,35.7781140117992,-4.125006894151952,9,2023-11-08T05:34:11.485,23.134625078716876,g,2023-11-08T05:41:07.966,22.046863298612386,i,2023-11-11T05:20:12.956,22.071920653210974,i,0356m042_17864,35.77816895635092,-4.125323690521072,20.831889510154724,19.776163697242737,19.13843721151352,None,None
T202310260224499m065053,02:24:49.895 -06:50:53.204,36.20789931057558,-6.848112285918424,36.20786476384172,-6.848048637417007,9,2023-10-26T04:25:54.938,19.681318104376825,g,2023-11-08T05:26:55.779,18.605539973333713,r,2023-11-11T05:05:40.312,18.635416728007492,r,0363m067_482,36.20760060589833,-6.847160883469277,22.594720544293523,22.020665891468525,21.81169755756855,nan,nan
C202311080214488m043719,02:14:48.767 -04:37:19.269,33.70319767337668,-4.622019249988353,33.70326950198734,-4.622077469616885,7,2023-11-08T05:12:20.932,23.62344673434368,g,2023-11-11T04:53:06.274,22.58747795414953,r,2023-11-11T04:53:06.274,22.58747795414953,r,0337m045_5500,33.70329553370435,-4.621864467955955,23.44232551753521,22.58625282905996,22.04172983765602,nan,nan
C202310120222410m053131,02:22:40.974 -05:31:31.275,35.670725779169,-5.525354337422218,35.6707045000256,-5.52535750290129,8,2023-10-12T05:59:04.699,23.645065997739955,i,2023-10-26T04:32:51.343,22.43250832473585,i,2023-11-11T05:09:18.073,22.548664706413017,i,0357m055_970,35.67066745905036,-5.525503646168455,23.86741280555725,23.002334646880627,22.80272388830781,nan,nan
C202308020220131m045114,02:20:13.087 -04:51:13.989,35.05453107934377,-4.853886047685769,35.05451192525175,-4.853865446839768,96,2023-08-02T07:17:40.461,19.99268252230395,g,2023-08-03T07:17:52.816,19.79672691126158,r,2023-11-11T04:58:23.515,20.247561583773376,i,0349m047_11030,35.05433903584498,-4.85401710245064,nan,23.316373229026794,21.226467490196228,None,None
C202308020227447m040911,02:27:44.671 -04:09:10.878,36.93613301282608,-4.153021693368061,36.93611767787946,-4.153052817037628,89,2023-08-02T07:41:18.952,20.67092083914228,g,2023-08-31T05:49:24.530,20.600290581325275,g,2023-11-11T05:20:12.956,20.839681057182354,i,0369m042_10685,36.93616585670458,-4.153104140247658,20.718064606189728,20.10844185948372,19.521429240703583,None,None
C202309240221217m061660,02:21:21.746 -06:16:59.795,35.3406121843724,-6.283276610972126,35.34068957815009,-6.283221540022282,7,2023-09-24T06:44:13.128,23.022332930437933,i,2023-10-04T06:44:26.461,22.614016543759256,i,2023-10-15T06:03:28.617,22.669412827518656,i,0353m062_7203,35.34078787234171,-6.283276149077667,23.013765960931778,21.23560205101967,20.065356343984604,nan,nan
A202310040223405m064324,02:23:40.484 -06:43:23.845,35.91868749674372,-6.72329046959309,35.91869959169767,-6.723245995195989,6,2023-10-04T06:44:26.461,22.828856981407945,i,2023-10-15T06:01:30.809,22.337740317200492,i,2023-10-26T04:32:51.343,22.428842461038897,i,0358m067_11148,35.91869387088623,-6.723258062252222,22.589230770245194,21.748672053217888,21.29227325320244,nan,nan
T202309240227458m044005,02:27:45.778 -04:40:04.938,36.94074413001676,-4.668038441718871,36.94074413001676,-4.668038441718871,5,2023-09-24T06:49:55.581,22.247443051918165,r,2023-09-27T06:10:14.590,22.14240671888993,i,2023-09-27T06:10:14.590,22.14240671888993,i,0369m047_6734,36.9405359871284,-4.668543060133773,21.723177805542946,20.763312876224518,20.369247645139694,nan,nan
C202308020219382m060401,02:19:38.172 -06:04:00.569,34.90905170742445,-6.066824791416205,34.90902337492105,-6.066757952571337,55,2023-08-02T07:28:33.358,20.79994369848955,g,2023-11-08T05:26:55.779,20.287274650970726,r,2023-11-11T05:05:40.312,20.392265326517037,r,0350m060_799,34.9091105704118,-6.066835746857815,19.707988798618317,19.647772908210754,19.332827031612396,None,None
T202310040219136m042738,02:19:13.576 -04:27:37.857,34.80656944960644,-4.460516022195575,34.80658195439837,-4.460504190713001,5,2023-10-04T06:35:30.638,22.788317566001062,i,2023-10-12T05:48:11.267,22.769446582702194,i,2023-10-15T05:52:35.014,22.77673299908308,i,0347m045_9639,34.80618281261959,-4.46422193912937,19.930716454982758,19.32549685239792,18.917751014232635,None,None
T202308020215511m040845,02:15:51.125 -04:08:44.668,33.96302361018866,-4.145741178979462,33.96307406216557,-4.145703746710844,57,2023-08-02T07:17:40.461,20.07835486743173,g,2023-08-04T08:12:07.171,19.635164164434777,g,2023-10-15T05:52:35.014,22.133111564769607,i,0339m042_7866,33.96262738759784,-4.145403501415739,19.09088134765625,18.085770905017853,17.426989674568176,0.056818,nan
T202309240216052m044925,02:16:05.217 -04:49:24.841,34.02173903240891,-4.823567106941376,34.02175310253065,-4.82358846723027,5,2023-09-24T06:31:13.971,22.815854603530287,i,2023-09-24T06:31:13.971,22.815854603530287,i,2023-10-15T05:50:34.995,23.235978819018552,i,0339m047_8844,34.02215314233077,-4.824268706496032,23.028026893734932,22.70149078220129,21.999345310032368,None,None
A202308020219305m055643,02:19:30.488 -05:56:42.897,34.87703629899705,-5.945249222906399,34.87707256229103,-5.945260869298947,56,2023-08-02T07:28:33.358,20.150236762532003,g,2023-09-24T06:35:13.744,19.55896899236505,g,2023-11-11T05:09:18.073,21.444659215056838,i,0347m060_10431,34.8771115321091,-5.945293791243585,18.620261251926422,18.270610868930817,17.87558287382126,None,None
T202308220223004m044035,02:23:00.440 -04:40:34.929,35.75183481765913,-4.676369372610368,35.75186364204595,-4.67634117611426,42,2023-08-22T07:40:42.476,21.78240750748988,g,2023-08-31T05:49:24.530,20.145379202347826,g,2023-11-08T05:39:28.696,23.059540777599,r,0357m047_10653,35.75593476191069,-4.677985227687912,23.20368990302086,22.01051466166973,nan,nan,nan
C202309240226060m051019,02:26:05.982 -05:10:19.423,36.52492829065047,-5.172062055439884,36.52493916208038,-5.172058931372952,48,2023-09-24T06:46:15.309,19.239380642956284,g,2023-09-24T06:49:55.581,19.20538361282766,r,2023-11-11T05:20:12.956,19.998320990141895,i,0364m052_12301,36.52507456874459,-5.172305221887107,18.808802366256714,18.14446657896042,17.65858232975006,None,None
C202308030227099m043732,02:27:09.851 -04:37:31.604,36.79104666930093,-4.625445808737692,36.79096583058377,-4.62545345521751,41,2023-08-03T07:39:41.471,22.51771517616958,r,2023-08-31T05:54:26.611,21.51869837701471,i,2023-11-11T05:14:54.410,22.67125207953969,r,0367m045_12231,36.79103265593971,-4.625584926039296,20.729704350233078,19.276581704616547,18.459658324718475,None,None
T202308020224327m063843,02:24:32.696 -06:38:42.569,36.13623581356617,-6.645158326888509,36.13633257137796,-6.645073005614926,37,2023-08-02T07:35:30.088,21.40901960260169,i,2023-08-04T08:30:03.258,21.265515053651963,i,2023-11-11T05:09:18.073,22.327462725698865,i,0360m067_9272,36.13621780561117,-6.644439138354253,20.96105456352234,20.489280223846436,20.252225697040558,nan,nan
A202308130218472m051453,02:18:47.157 -05:14:52.599,34.6964885236501,-5.247944383756626,34.69649812164671,-5.247977421392788,38,2023-08-13T09:06:04.544,21.682799990169748,g,2023-08-25T06:40:37.023,20.752410016238606,r,2023-10-15T05:52:35.014,22.81321719582206,i,0347m052_5231,34.69657671971622,-5.247954406226642,21.29327490925789,20.744105130434036,20.405341386795044,nan,nan
T202308020225068m041801,02:25:06.840 -04:18:01.387,36.27850219238117,-4.300385361339903,36.27848039897331,-4.300385813133996,33,2023-08-02T07:46:28.972,21.35643417438611,i,2023-08-03T07:39:41.471,21.071318887963844,r,2023-09-24T06:55:24.066,22.694771056753044,i,0361m042_15676,36.27753374838539,-4.299871493581594,24.21269714832306,23.045679442584515,21.368616297841072,nan,nan
