objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host
T202309240216052m044925,02:16:05.217 -04:49:24.841,34.02173903240891,-4.823567106941376,34.02175310253065,-4.82358846723027,5,2023-09-24T06:31:13.971,22.815854603530287,i,2023-09-24T06:31:13.971,22.815854603530287,i,2023-10-15T05:50:34.995,23.235978819018552,i,0339m047_8844,34.02215314233077,-4.824268706496032,23.028026893734932,22.70149078220129,21.999345310032368,None,None
T202310040219136m042738,02:19:13.576 -04:27:37.857,34.80656944960644,-4.460516022195575,34.80658195439837,-4.460504190713001,5,2023-10-04T06:35:30.638,22.788317566001062,i,2023-10-12T05:48:11.267,22.769446582702194,i,2023-10-15T05:52:35.014,22.77673299908308,i,0347m045_9639,34.80618281261959,-4.46422193912937,19.930716454982758,19.32549685239792,18.917751014232635,None,None
C202308020219382m060401,02:19:38.172 -06:04:00.569,34.90905170742445,-6.066824791416205,34.90899614823334,-6.066806319838129,72,2023-08-02T07:28:33.358,20.80599166191992,g,2023-10-26T04:31:12.220,20.304660231829153,r,2023-12-14T02:45:45.738,20.778829566558795,g,0350m060_799,34.9091105704118,-6.066835746857815,19.707988798618317,19.647772908210754,19.332827031612396,None,None
A202310040223405m064324,02:23:40.484 -06:43:23.845,35.91868749674372,-6.72329046959309,35.91869959169767,-6.723245995195989,6,2023-10-04T06:44:26.461,22.828856981407945,i,2023-10-15T06:01:30.809,22.337740317200492,i,2023-10-26T04:32:51.343,22.428842461038897,i,0358m067_11148,35.91869387088623,-6.723258062252222,22.589230770245194,21.748672053217888,21.29227325320244,nan,nan
C202311080223421m043045,02:23:42.084 -04:30:44.637,35.92535121099915,-4.512399276711894,35.92535195502872,-4.512403980726674,12,2023-11-08T05:34:11.485,22.970425233119087,g,2023-11-08T05:43:07.136,22.80830113985245,i,2023-12-14T02:55:12.078,23.346772416895742,g,0359m045_5419,35.92542847492708,-4.512456438115438,22.411103695631027,20.949180126190186,19.94679570198059,nan,nan
T202311140222060m070712,02:22:06.003 -07:07:11.853,35.52501561353944,-7.119959220236286,35.52501561353944,-7.119959220236286,6,2023-11-14T05:07:44.490,22.798165165059963,r,2023-11-17T04:58:15.453,22.62396131572492,r,2023-11-17T04:58:15.453,22.62396131572492,r,0356m070_1339,35.52417523638026,-7.120355466177557,22.17677153646946,21.327504590153694,20.83740532398224,nan,nan
C202309240221217m061660,02:21:21.746 -06:16:59.795,35.3406121843724,-6.283276610972126,35.34068957815009,-6.283221540022282,7,2023-09-24T06:44:13.128,23.022332930437933,i,2023-10-04T06:44:26.461,22.614016543759256,i,2023-10-15T06:03:28.617,22.669412827518656,i,0353m062_7203,35.34078787234171,-6.283276149077667,23.013765960931778,21.23560205101967,20.065356343984604,nan,nan
C202311080218383m045700,02:18:38.296 -04:57:00.075,34.65956794779447,-4.950020954273943,34.65949649423329,-4.950079012144282,13,2023-11-08T05:12:20.932,23.0200938575694,g,2023-12-11T02:31:59.813,22.342256668180074,r,2023-12-14T02:32:45.313,22.486941591430757,g,0347m050_3333,34.65957296919768,-4.950126081153315,21.781551837921143,21.402702704072,20.985056459903717,nan,nan
T202311080221457m060732,02:21:45.660 -06:07:31.855,35.44025063271695,-6.125515542727731,35.44024788483743,-6.125499301692588,11,2023-11-08T05:26:55.779,22.597540820842752,r,2023-11-11T05:05:40.312,22.495943924180878,r,2023-12-11T02:44:51.430,22.814923971632275,i,0355m060_1882,35.4403202002318,-6.125852825771682,21.835707500576973,21.17461323738098,20.83020180463791,nan,nan
T202308220223004m044035,02:23:00.440 -04:40:34.929,35.75183481765913,-4.676369372610368,35.75186364204595,-4.67634117611426,46,2023-08-22T07:40:42.476,21.78240750748988,g,2023-08-31T05:49:24.530,20.145379202347826,g,2023-12-11T02:54:20.372,23.816652367462886,r,0357m047_10653,35.75593476191069,-4.677985227687912,23.20368990302086,22.01051466166973,nan,nan,nan
