objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
C202210060223125m045817,02:23:12.565 -04:58:17.903,35.80235817108093,-4.971639968053,35.80239380913914,-4.971643085557878,10,2022-10-06T05:32:39.469,22.055873993784214,i,2022-10-06T05:32:39.469,22.055873993784214,i,2022-11-25T05:00:25.433,23.079152651871322,r,0357m050_6582,35.80260164651994,-4.971537074102427,19.106734097003937,18.075628578662872,17.29460895061493,0.149849995970726,nan,spec,GAMA-DR3
A202210230219070m062823,02:19:07.008 -06:28:23.424,34.77920351137227,-6.473173530083557,34.77921380924286,-6.473178131005139,15,2022-10-23T05:52:10.380,22.83381029257567,r,2022-11-16T05:44:47.471,22.740621877430904,i,2022-11-25T04:49:29.637,23.019709224080646,r,0348m065_2907,34.77922659458456,-6.473155621869179,21.75155758857727,21.424283161759377,20.570705085992813,nan,nan,NONE,NONE
A202211160219171m043001,02:19:17.154 -04:30:01.991,34.82147858236524,-4.500553234651395,34.82145768612252,-4.500547985580983,15,2022-11-16T05:28:39.827,22.58629986571501,r,2022-11-19T04:42:54.929,22.36971270454515,i,2022-11-25T04:42:16.130,22.413907450456833,i,0347m045_8262,34.82144621972052,-4.500589289220957,21.772661432623863,20.999083071947098,20.46072319149971,nan,nan,NONE,NONE
T202210230221029m064136,02:21:02.992 -06:41:36.343,35.26246683684613,-6.693428671651954,35.26243347645023,-6.693373920462393,17,2022-10-23T05:48:41.747,22.905176821617477,g,2022-10-23T05:52:10.380,22.031006211966933,r,2022-11-25T04:51:07.413,22.849546865764687,i,0353m067_2369,35.26245133532004,-6.693063444500836,19.978244602680206,19.67377632856369,19.518472254276276,0.06702999770641327,nan,spec,GAMA-DR3
T202211190221071m050045,02:21:07.115 -05:00:45.394,35.27964646784687,-5.012609528728949,35.27965140454457,-5.01259990518634,18,2022-11-19T04:34:03.629,22.544932137316472,g,2022-11-25T04:38:38.266,21.40346741134584,r,2022-11-25T04:42:16.130,21.617862952901085,i,0352m050_6156,35.27944424523591,-5.012416333337783,20.727178305387497,19.35765504837036,18.593117892742157,0.29142001271247864,nan,spec,GAMA-DR3
T202210230226203m042345,02:26:20.344 -04:23:45.334,36.58476691612681,-4.395926162795725,36.58477919984104,-4.395957873393668,20,2022-10-23T05:57:47.992,22.781495382948858,g,2022-10-23T06:03:04.694,22.015575897459588,r,2022-11-22T05:03:34.629,23.072909184915382,i,0364m045_7916,36.58438729074562,-4.396242023491539,21.353595703840256,20.065476447343826,19.222590625286102,0.3662000000476837,nan,spec,GAMA-DR3
T202210230226041m043954,02:26:04.103 -04:39:54.672,36.51709627747342,-4.665186737423624,36.51710665914722,-4.665225113401579,21,2022-10-23T05:57:47.992,22.394847535859657,g,2022-10-23T06:06:42.875,21.87930726902064,i,2022-11-25T05:02:06.944,23.00522380638123,i,0364m047_5347,36.51674742225154,-4.66462000221158,21.46988555788994,19.94366765022278,19.073489606380463,nan,nan,NONE,NONE
T202211100223029m045212,02:23:02.919 -04:52:12.677,35.76216258959842,-4.87018831833918,35.76209346882169,-4.870242476937758,25,2022-11-10T03:50:15.842,22.39814391271794,g,2022-11-25T05:02:06.944,22.04545953403923,i,2022-11-25T05:04:06.800,22.22424566636453,i,0357m047_5659,35.76195472751554,-4.870774283808737,20.89726895093918,19.905583262443542,19.250798225402832,0.21952000260353088,nan,spec,GAMA-DR3
T202210020223217m054326,02:23:21.711 -05:43:26.074,35.84046604118503,-5.723909473021991,35.84046461649234,-5.723954238441987,26,2022-10-02T06:21:45.641,22.201204862052656,g,2022-10-02T06:30:37.637,21.417922153349146,i,2022-11-22T04:54:42.951,22.81322543123525,i,0357m057_6455,35.8401332471261,-5.723981295017589,21.66075199842453,20.63832774758339,20.02411961555481,nan,nan,NONE,NONE
C202210230219382m060400,02:19:38.210 -06:04:00.781,34.90921198154575,-6.06688373611423,34.90899808083179,-6.066798594042952,27,2022-10-23T05:46:51.809,22.844676695370858,g,2022-10-23T05:50:31.624,20.053909668055447,r,2022-11-25T04:53:06.454,22.5543668532131,i,0350m060_537,34.90911031083645,-6.066835584224505,19.691967368125916,19.649988412857056,19.232601821422577,nan,nan,NONE,NONE
