tns_name,objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
AT2022acdq,C202210060223125m045817,02:23:12.566 -04:58:17.757,35.80235965488875,-4.971599175038742,35.80239380913914,-4.971643085557878,21,2022-10-06T05:32:39.469,22.055873993784214,i,2022-10-06T05:32:39.469,22.055873993784214,i,2022-12-28T01:52:10.313,23.038852006188907,r,0357m050_6582,35.80260164651994,-4.971537074102427,19.106734097003937,18.075628578662872,17.29460895061493,0.149849995970726,nan,spec,GAMA-DR3
AT2022acdr,T202210230221029m064136,02:21:02.993 -06:41:36.220,35.26247483802707,-6.693394611760907,35.26243347645023,-6.693373920462393,17,2022-10-23T05:48:41.747,22.905176821617477,g,2022-10-23T05:52:10.380,22.031006211966933,r,2022-11-25T04:51:07.413,22.849546865764687,i,0353m067_2369,35.26245133532004,-6.693063444500836,19.978244602680206,19.67377632856369,19.518472254276276,0.06702999770641327,nan,spec,GAMA-DR3
AT2022accm,T202211190221071m050045,02:21:07.117 -05:00:45.403,35.27965581234018,-5.01261211009599,35.27965140454457,-5.01259990518634,52,2022-11-19T04:34:03.629,22.544932137316472,g,2022-11-25T04:38:38.266,21.40346741134584,r,2022-12-28T01:34:09.344,22.05113439582418,i,0352m050_6156,35.27944424523591,-5.012416333337783,20.727178305387497,19.35765504837036,18.593117892742157,0.29142001271247864,nan,spec,GAMA-DR3
AT2022acds,T202210230226203m042345,02:26:20.343 -04:23:45.366,36.5847639291076,-4.395935115076212,36.58477919984104,-4.395957873393668,20,2022-10-23T05:57:47.992,22.781495382948858,g,2022-10-23T06:03:04.694,22.015575897459588,r,2022-11-22T05:03:34.629,23.072909184915382,i,0364m045_7916,36.58438729074562,-4.396242023491539,21.353595703840256,20.065476447343826,19.222590625286102,0.3662000000476837,nan,spec,GAMA-DR3
AT2022acdt,T202211100223029m045212,02:23:02.918 -04:52:12.728,35.76216213211998,-4.870202256570673,35.76209346882169,-4.870242476937758,25,2022-11-10T03:50:15.842,22.39814391271794,g,2022-11-25T05:02:06.944,22.04545953403923,i,2022-11-25T05:04:06.800,22.22424566636453,i,0357m047_5659,35.76195472751554,-4.870774283808737,20.89726895093918,19.905583262443542,19.250798225402832,0.21952000260353088,nan,spec,GAMA-DR3
AT2022acdu,T202210020223217m054326,02:23:21.713 -05:43:26.052,35.84047122001363,-5.723903425711652,35.84046461649234,-5.723954238441987,26,2022-10-02T06:21:45.641,22.201204862052656,g,2022-10-02T06:30:37.637,21.417922153349146,i,2022-11-22T04:54:42.951,22.81322543123525,i,0357m057_6455,35.8401332471261,-5.723981295017589,21.66075199842453,20.63832774758339,20.02411961555481,nan,nan,NONE,NONE
AT2022acdv,C202210230219382m060400,02:19:38.212 -06:04:00.821,34.90922024498226,-6.066894900218344,34.90899808083179,-6.066798594042952,61,2022-10-23T05:46:51.809,22.844676695370858,g,2022-10-23T05:50:31.624,20.053909668055447,r,2022-12-28T01:44:58.195,22.461058733559632,i,0350m060_537,34.90911031083645,-6.066835584224505,19.691967368125916,19.649988412857056,19.232601821422577,nan,nan,NONE,NONE
AT2022acdw,C202210020226558m042802,02:26:55.871 -04:28:02.876,36.73279967866016,-4.46746576816043,36.73273017076984,-4.467401603514062,28,2022-10-23T05:57:47.992,23.14043473441927,g,2022-10-23T06:03:04.694,21.9362906727882,r,2022-11-25T05:04:06.800,22.68237425664406,i,0367m045_4912,36.73306089866904,-4.467574858074129,23.69356967508793,22.59874815121293,21.39338970184326,nan,nan,NONE,NONE
AT2022acdx,C202210020220109m062222,02:20:10.955 -06:22:22.394,35.04564905662958,-6.372887330800787,35.0456702098349,-6.372887983419548,36,2022-10-02T06:21:45.641,21.762056270488905,g,2022-10-08T04:33:38.779,21.448129373322416,r,2022-12-22T02:23:17.623,22.30539022092983,i,0350m062_3239,35.045679697899,-6.372767552485882,19.80598211288452,19.371658861637115,19.048417806625366,0.1397400051355362,nan,spec,GAMA-DR3
AT2022acdy,C202210230224028m065211,02:24:02.857 -06:52:11.046,36.01190565332805,-6.869735018958073,36.01190565332805,-6.869735018958073,39,2022-10-23T05:46:51.809,21.35005852178879,g,2022-10-29T05:33:52.414,21.120139624131745,i,2022-12-22T02:21:18.773,22.867512368451912,i,0360m067_2150,36.01210251883141,-6.869731786900454,20.112147480249405,19.539588689804077,19.26086664199829,nan,nan,NONE,NONE
