OBJID,RA_OBJ,DEC_OBJ
A202308220214271m050150,33.612911307614105,-5.03064689245348
A202308220214328m043331,33.636794584185964,-4.55858905894522
A202308220214355m043109,33.647972596407854,-4.519064370427819
A202308220214595m045125,33.74800737925112,-4.857014034410727
A202308220215034m042422,33.764038440769404,-4.405988948338125
A202308220215284m045639,33.86835833401095,-4.944195323367276
A202308220215301m054246,33.87524311072321,-5.712774891837364
A202308220215371m045004,33.904612575762414,-4.834406380335641
A202308220215439m040709,33.932859209645365,-4.1190561276382605
A202308220215504m043841,33.959847383801545,-4.644782833979311
A202308220216042m042526,34.01746603705106,-4.4239582102157575
A202308220216120m041457,34.04992481286557,-4.249132898045456
A202308220216121m041421,34.05025729589653,-4.239266168141205
A202308220216342m051323,34.14254687926289,-5.222928306318426
A202308220216526m041726,34.21900491476604,-4.2906241885024095
A202308220216598m041518,34.249034986909564,-4.254933446634805
A202308220217112m042119,34.29661982902702,-4.355167915648691
A202308220217271m041518,34.36283580771466,-4.255050074267485
A202308220217360m043460,34.40018814239,-4.58333159267458
A202308220217419m041519,34.424544229362986,-4.255202184059036
A202308220217504m050315,34.4601778003453,-5.05423929112398
A202308220218174m053410,34.57270827876958,-5.56945805467667
A202308220218537m040315,34.723895909340115,-4.0541758056312025
A202308220218538m061650,34.724025656656096,-6.2806063230573335
A202308220218549m052638,34.728641364047114,-5.443796892180381
A202308220219002m051434,34.75081786264375,-5.2427465173832015
A202308220219035m063155,34.764548309621766,-6.532018858498354
A202308220219094m045340,34.78931856797415,-4.894399659616685
A202308220219155m063147,34.81439512541059,-6.529708545980689
A202308220219295m052801,34.872768962691154,-5.467073774253715
A202308220219312m042449,34.8798013196755,-4.413546095640359
A202308220219369m054758,34.90363835306322,-5.799548117024395
A202308220219449m065059,34.93709503533561,-6.849811956574304
A202308220219457m042909,34.940313901946816,-4.485875351416456
A202308220219507m060845,34.96134530887014,-6.1458458233184645
A202308220219573m042702,34.988766040094404,-4.450492065560358
A202308220220032m042822,35.013371128764355,-4.4728833452705965
A202308220220059m042451,35.024407604352795,-4.414256174419121
A202308220220226m044631,35.094171852539404,-4.775404358805717
A202308220220347m045507,35.144507596356426,-4.9186891461028
A202308220220378m062728,35.15758362446422,-6.457711908683343
A202308220220437m063846,35.182251205835726,-6.646197807200395
A202308220220511m063257,35.21286036136028,-6.549039210496116
A202308220220557m044141,35.23208308587935,-4.694667635882678
A202308220220590m054256,35.2459271295926,-5.715599892318763
A202308220221085m053943,35.28553597247347,-5.661982816843432
A202308220221113m054635,35.29688136004397,-5.776393257136092
A202308220221280m043409,35.36663171484813,-4.569250840365678
A202308220221311m042944,35.37943253933923,-4.495569686640822
A202308220221406m050411,35.4189886774555,-5.069694990125963
A202308220221517m044218,35.465622826321656,-4.704953190534969
A202308220222132m063042,35.55518015258295,-6.511533657918756
A202308220222138m045856,35.5573102194356,-4.982275543782381
A202308220222151m050433,35.562966196377374,-5.075763842815614
A202308220222232m044319,35.59675245297156,-4.721960387909654
A202308220222414m045918,35.672333536086825,-4.988267610212541
A202308220223004m044035,35.75183481765913,-4.676369372610368
A202308220223034m042359,35.7641362097652,-4.399787047444411
A202308220223039m070036,35.76628839556338,-7.0099726954025625
A202308220223116m070232,35.798414420512756,-7.042325192744319
A202308220223211m044631,35.83793032384049,-4.7752953593331
A202308220223289m054603,35.87023345725341,-5.767459358394181
A202308220223332m050903,35.888190451511996,-5.150889393073358
A202308220223343m045839,35.89288451328031,-4.9774406584296225
A202308220223440m044648,35.93334294115161,-4.780041218170725
A202308220223462m045817,35.94234882726798,-4.971299362363051
A202308220223490m062332,35.95406385125839,-6.392094783452545
A202308220223537m072109,35.97376994128893,-7.352524762165259
A202308220223540m054649,35.974793978682335,-5.780384483949331
A202308220223548m050154,35.97848756197356,-5.031647337501136
A202308220223579m065142,35.99137097638354,-6.86164789964523
A202308220224018m045452,36.007580617932376,-4.914519826714998
A202308220224037m060826,36.015592456691564,-6.140669549089848
A202308220224050m045942,36.02067008659603,-4.9949039854567125
A202308220224057m042030,36.023753697457124,-4.3417563142162345
A202308220224072m051848,36.02994744720447,-5.313240635800067
A202308220224072m065303,36.03005939351315,-6.884212303525061
A202308220224081m060350,36.03373239782509,-6.063979809404966
A202308220224111m040824,36.046180513356624,-4.139879487683948
A202308220224165m040149,36.06867688116859,-4.030213929979232
A202308220224175m041710,36.07289111861445,-4.286116787851417
A202308220224182m045230,36.075642367230195,-4.874987877774935
A202308220224201m040730,36.08379812638891,-4.124978252931383
A202308220224253m050043,36.10534851865668,-5.011881214756381
A202308220224264m071749,36.11017061707365,-7.297013611940882
A202308220224372m041008,36.154935244208176,-4.168865911105189
A202308220224470m040851,36.195829727317815,-4.147364956735489
A202308220224519m034122,36.21634753597429,-3.6893239293651403
A202308220224531m052922,36.221119793301725,-5.48953719317269
A202308220224542m051835,36.22594348619553,-5.309628139802932
A202308220224542m051901,36.22568237773825,-5.316885503516472
A202308220224561m050758,36.23381326875961,-5.132790254630015
A202308220225063m061833,36.27645308318655,-6.309220254690232
A202308220225074m041835,36.28070887611596,-4.309706213401051
A202308220225104m065552,36.29345128947065,-6.931175974633233
A202308220225119m055643,36.29973393276733,-5.945368099802504
A202308220225130m055936,36.304221627709,-5.993357816653243
A202308220225156m040144,36.31491539254423,-4.028989821760682
A202308220225165m035417,36.31868419680693,-3.9045905414939552
A202308220225202m061828,36.33396169643525,-6.307915168441931
A202308220225214m035209,36.33897589180816,-3.8692260806425764
A202308220225397m050019,36.415586882016505,-5.0053382014661
A202308220225398m055213,36.415802242827205,-5.870277606265379
A202308220225414m050336,36.42241878352211,-5.060091935096534
A202308220225428m054948,36.42841672442318,-5.829933591524918
A202308220225551m043657,36.479651019393785,-4.615956042596856
A202308220226076m050616,36.53152088991995,-5.104497706502381
A202308220226130m040223,36.554004231691046,-4.039770521831372
A202308220226130m050809,36.554009404894856,-5.135779947143354
A202308220226150m050823,36.56260351532172,-5.139734756483584
A202308220226164m040321,36.56817083101967,-4.055805313013344
A202308220226174m050442,36.57261771567382,-5.078407269344283
A202308220226222m034902,36.592387683166585,-3.8172635284873473
A202308220226257m045206,36.607143536590385,-4.868431084591161
A202308220226281m051705,36.61712728714791,-5.284637989349458
A202308220226302m043258,36.625665868637185,-4.549438432875684
A202308220226336m040833,36.639835510985414,-4.142518580189596
A202308220226339m041253,36.641331789012526,-4.21458443921189
A202308220226394m063224,36.66413325662062,-6.540122050166484
A202308220226415m043042,36.67286163431459,-4.511770151999916
A202308220227064m042816,36.77677629009113,-4.471089436006579
A202308220227108m045624,36.79498868798945,-4.94003416361652
A202308220227168m035151,36.81988120233662,-3.864185805459074
A202308220227390m035306,36.9124841967398,-3.8850748380304982
A202308220227462m034954,36.94263572425355,-3.831586903680658
A202308220227567m050026,36.98613519005879,-5.007358793526652
A202308220227590m041845,36.995797952188326,-4.312479713643574
A202308220228145m035931,37.06024913495766,-3.9919991311394405
A202308220228308m045132,37.12837875010097,-4.8588767438625915
A202308220228319m045134,37.13297485096806,-4.859448330272624
A202308220228376m043731,37.15664136588018,-4.625273005972539
A202308220228394m044632,37.164142381556324,-4.775467084706466
A202308220228450m045934,37.18744008767144,-4.992638999685206
A202308220228509m040345,37.21205852191652,-4.0624878121913
A202308220229259m044439,37.357740497740785,-4.7442836341216195
A202308220229297m045140,37.37360034593746,-4.861062128116078
A202308220229514m044422,37.46430857607176,-4.7395499498161255
A202308220328194m285147,52.08091871454061,-28.863026789634883
A202308220328196m280755,52.081772240033295,-28.13197923769172
A202308220328203m284615,52.08446947201826,-28.77096082990782
A202308220328205m274256,52.0853733350582,-27.715688043448903
A202308220328342m284820,52.14252904369778,-28.805517307513608
A202308220329082m281656,52.28416719491145,-28.282284988856393
A202308220329100m272841,52.29169770595619,-27.478111306416533
A202308220329259m271543,52.357863694613954,-27.261851508647734
A202308220329383m285657,52.409780411030255,-28.949067219714156
A202308220331109m284832,52.79562328014438,-28.808766446041734
A202308220331506m284605,52.960630187740676,-28.7681864924853
A202308220332206m275838,53.08598847172324,-27.977088885278583
A202308220333207m274910,53.33614263211941,-27.819535060191175
A202308220333394m273031,53.414233475347615,-27.508648588640455
A202308220333501m274753,53.45877688927248,-27.798011590926187
A202308220334258m274513,53.60768139710496,-27.75368749593929
A202308250214299m042924,33.624609252759925,-4.489937497682716
A202308250214315m043008,33.63137050796772,-4.502319765218609
A202308250215155m043806,33.814780924194764,-4.634964865607714
A202308250215361m040930,33.90062035391053,-4.158308627642972
A202308250215545m040941,33.976968482072685,-4.161280930216159
A202308250216298m051254,34.12403441774355,-5.215092726152039
A202308250217293m052919,34.37217128909177,-5.488498036534984
A202308250218402m053400,34.66739937123844,-5.566786675289034
A202308250219018m044110,34.75745816791615,-4.68619868756924
A202308250219125m050501,34.801926534440334,-5.083526366135022
A202308250219236m042324,34.84853053004932,-4.389930537842027
A202308250219303m053051,34.876350524009645,-5.514086526290248
A202308250219446m044150,34.93589328125689,-4.697303132378384
A202308250219556m045923,34.98172009547709,-4.98980004253129
